# POLI_mJy_calculated_BAND4_nterms2.fits profile
# xLabel: Offset (arcsec)
# yLabel: Value (Jy/beam)
# Line (pixel) [[489.690317pix, 479.401461pix], [540.398790pix, 538.376316pix]]
# Line (wcs:ICRS) [[16:31:35.6893109086, -24:01:30.5367735251], [16:31:35.6226891678, -24:01:29.4752260249]]
# x	y
-0.6839999705553055	1.7106255516e-2
-0.6659999713301659	1.7898615450e-2
-0.6479999721050262	2.0660523325e-2
-0.6299999728798866	2.2325608879e-2
-0.611999973654747	2.4268481880e-2
-0.5939999744296074	2.4966839701e-2
-0.5759999752044678	2.6029171422e-2
-0.5579999759793282	2.8211221099e-2
-0.5399999767541885	3.0128080398e-2
-0.5219999775290489	3.3322136849e-2
-0.5039999783039093	3.5097993910e-2
-0.4859999790787697	3.8873389363e-2
-0.46799997985363007	4.2539101094e-2
-0.44999998062849045	4.5545939356e-2
-0.43199998140335083	5.2998017520e-2
-0.4139999821782112	5.7833191007e-2
-0.3959999829530716	6.5628975630e-2
-0.377999983727932	7.2277642787e-2
-0.35999998450279236	7.4925534427e-2
-0.34199998527765274	7.7351555228e-2
-0.3239999860525131	7.6053388417e-2
-0.3059999868273735	7.0960238576e-2
-0.2879999876022339	6.4904935658e-2
-0.26999998837709427	5.9772968292e-2
-0.25199998915195465	5.6274142116e-2
-0.23399998992681503	5.6255001575e-2
-0.21599999070167542	6.4658515155e-2
-0.1979999914765358	7.0787534118e-2
-0.17999999225139618	8.3506010473e-2
-0.16199999302625656	9.8867952824e-2
-0.14399999380111694	1.1120381206e-1
-0.12599999457597733	1.3908106089e-1
-0.10799999535083771	1.5771135688e-1
-0.08999999612569809	1.9804057479e-1
-0.07199999690055847	2.4650055170e-1
-0.053999997675418854	2.9089733958e-1
-0.035999998450279236	3.3137720823e-1
-0.017999999225139618	3.3378416300e-1
0	3.1817033887e-1
0.017999999225139618	2.9439836740e-1
0.035999998450279236	2.5459626317e-1
0.053999997675418854	1.8416754901e-1
0.07199999690055847	1.4229913056e-1
0.08999999612569809	9.0838693082e-2
0.10799999535083771	7.1577057242e-2
0.12599999457597733	6.8489633501e-2
0.14399999380111694	8.0854840577e-2
0.16199999302625656	8.7804578245e-2
0.17999999225139618	1.0108859837e-1
0.1979999914765358	1.0346545279e-1
0.21599999070167542	1.0331857204e-1
0.23399998992681503	1.0013192147e-1
0.25199998915195465	9.6071705222e-2
0.26999998837709427	9.1521330178e-2
0.2879999876022339	8.6021833122e-2
0.3059999868273735	7.8637592494e-2
0.3239999860525131	7.3684237897e-2
0.34199998527765274	6.6466495395e-2
0.35999998450279236	5.5255945772e-2
0.377999983727932	4.8513919115e-2
0.3959999829530716	3.7623062730e-2
0.4139999821782112	3.0299793929e-2
0.43199998140335083	2.6154717430e-2
0.44999998062849045	2.2865913808e-2
0.46799997985363007	2.3732269183e-2
0.4859999790787697	2.5196829811e-2
0.5039999783039093	2.7285162359e-2
0.5219999775290489	2.8672600165e-2
0.5399999767541885	2.9765963554e-2
0.5579999759793282	2.9638679698e-2
0.5759999752044678	2.7743170038e-2
0.5939999744296074	2.6192562655e-2
0.611999973654747	2.2120412439e-2
0.6299999728798866	1.8061921000e-2
0.6479999721050262	1.4659654349e-2
0.6659999713301659	1.0557466187e-2
0.6839999705553055	9.2172957957e-3
