Xdata,P_Zhang 1,omega_Zhang 1,P_times_omega_Zhang 1,omega_eff_Zhang 1,P_times_omega_eff_Zhang 1,P_Zhang 2,omega_Zhang 2,P_times_omega_Zhang 2,omega_eff_Zhang 2,P_times_omega_eff_Zhang 2,P_Zhang 3,omega_Zhang 3,P_times_omega_Zhang 3,omega_eff_Zhang 3,P_times_omega_eff_Zhang 3,P_Zhang 4,omega_Zhang 4,P_times_omega_Zhang 4,omega_eff_Zhang 4,P_times_omega_eff_Zhang 4
10.0,0.9965180768393395,0.8174617912534153,0.814615452109495,0.17794555327590006,0.17732596053261215,0.9986337680076321,0.7907019993702549,0.789621717002286,0.26496785233982995,0.26460584478301424,0.9946086803110035,0.7514092703572897,0.7473581827635178,0.3876994051484077,0.38560919371201885,0.9999994982083233,0.47140719259996655,0.471406956051761,0.443928118931627,0.44392789617219186
10.186289902446877,0.9952131243933016,0.8189588169748792,0.8150385629910115,0.17709438569230992,0.17624665689735616,0.9983606590581265,0.7924845423762003,0.7911853900200811,0.26424692202201133,0.2638137312239766,0.9930796902906646,0.7538537727421352,0.7486368711592086,0.3885902480656618,0.3859010831990199,0.9999994760561218,0.47728446642247335,0.47728421635219903,0.44917980161829063,0.44917956627328337
10.37605019766912,0.993342158766599,0.8204582175862788,0.8149957370349502,0.17643985528187708,0.1752651467381661,0.998011883251084,0.7942547465739984,0.7926756754094286,0.2633221662807368,0.2627986510715932,0.9910212428669634,0.756281720173023,0.7494912502834342,0.3893955761546688,0.38589928784769717,0.9999994521384356,0.48320326785564244,0.48320300312714415,0.4544507456152311,0.4544504966391346
10.569345535579885,0.9910618189538849,0.821958808214464,0.8146119915741941,0.17594755208354532,0.17437490100840183,0.9975705084567691,0.7960132493871861,0.7940793419295001,0.2622054491541913,0.26156842323288215,0.9883873032878463,0.7586905954504054,0.7498801516670766,0.3900875816854659,0.38555761290817514,0.9999994263036297,0.4891602308752218,0.48915995024577286,0.4597368846616103,0.4597366209122283
10.766241770454933,0.9893901502444158,0.8234587696143909,0.814721995788864,0.1755541175932473,0.17369151478160877,0.9970257973794822,0.7977612378053087,0.7953885342412806,0.26092336050216136,0.2601473215596015,0.9854547776263147,0.7610782145282282,0.7500081626541478,0.3906406332869617,0.3849586784076056,0.9999993983859624,0.4951518518540172,0.4951515539637124,0.4650339980994425,0.4650337183284613
10.966805983368687,0.9897022204964158,0.8249560290526174,0.8164608137652811,0.1751810584417883,0.17337708252875025,0.9963891254350118,0.7995003338565116,0.7966134384362896,0.2595155138570798,0.25857843588887347,0.9831487280992035,0.7634427908032175,0.7505778087546896,0.3910321714681931,0.3844427820248237,0.9999993682041659,0.5011744966531019,0.5011741800131427,0.4703377169653769,0.47033741980796673
11.171106505048241,0.9916318642264642,0.826448701814849,0.8195328668681999,0.17475261535303335,0.1732902617409787,0.9957204303997746,0.8012324310971259,0.797803501142288,0.2580313378356916,0.2569270747663845,0.9827466767862832,0.7657829889548933,0.7525706875348884,0.39124356741983607,0.38449331569585404,0.9999993355598786,0.5072244085995166,0.507224071579269,0.47564353082317484,0.4756432147865295
11.37921293915315,0.9937234532057224,0.8279354795233667,0.8227389037434956,0.17421317757913482,0.1731197204178796,0.9951493112013731,0.8029594955248793,0.7990645888941856,0.25652549304301464,0.25528116770734866,0.9845413831732897,0.7680979652396609,0.7562242331096451,0.39126091272276337,0.3852125601937132,0.9999993002359051,0.5132977173380692,0.5132973581507566,0.4809467953180379,0.480946458768739
11.591196185988858,0.9952999239380724,0.8294158592968056,0.8255175416711417,0.17353950476713606,0.17272385589498127,0.9948454347840566,0.8046833506580237,0.8005355578488731,0.25505226763273736,0.2537375840857502,0.9874403088017807,0.7703873913646773,0.7607115636261352,0.39107570449926415,0.3861639144156273,0.9999992619942906,0.519390448537376,0.5193900652242596,0.4862427404285292,0.4862423815786106
11.807128466661903,0.9963480992160639,0.8308901491598891,0.8278558207728074,0.1727441714268016,0.17211332685174768,0.9949141569810024,0.8064054714428494,0.8023042198054302,0.2536595395691773,0.25236946697065726,0.9902752293186622,0.7726514594944073,0.7651376012342231,0.3906853873953566,0.3868860615943871,0.9999992205741834,0.5254985344230446,0.5254981248359203,0.49152647938670724,0.4915260962782797
