Xdata,P_Zhang 1,omega_Zhang 1,P_times_omega_Zhang 1,omega_eff_Zhang 1,P_times_omega_eff_Zhang 1,P_Zhang 2,omega_Zhang 2,P_times_omega_Zhang 2,omega_eff_Zhang 2,P_times_omega_eff_Zhang 2,P_Zhang 3,omega_Zhang 3,P_times_omega_Zhang 3,omega_eff_Zhang 3,P_times_omega_eff_Zhang 3,P_Zhang 4,omega_Zhang 4,P_times_omega_Zhang 4,omega_eff_Zhang 4,P_times_omega_eff_Zhang 4
10.0,0.9999987151058716,0.014406678974132694,0.01440666046307547,0.014384716663534044,0.014384698180696064,0.999999734502757,0.005845013474925294,0.005845011923090331,0.005840924732527922,0.005840923181778509,0.9999999649250823,0.001933081837724468,0.0019330817699217816,0.0019325883369322098,0.001932588269146833,0.9999999998094244,0.00011413978383894525,0.000114139783817193,0.0001141376338650307,0.00011413763384327886
10.186289902446877,0.9999986642350871,0.014811361752114716,0.014811341967617376,0.0147883538122644,0.014788334058500259,0.9999997239975187,0.006010939373693957,0.006010937714659774,0.006006653672818901,0.006006652014967583,0.9999999635376576,0.001988227783374475,0.001988227710879033,0.001987710381365571,0.0019877103088889944,0.9999999998018874,0.00011740352207873348,0.00011740352205547436,0.00011740126771172942,0.00011740126768847075
10.37605019766912,0.9999986096172203,0.015232320966547093,0.015232299787790327,0.015208197949900576,0.015208176804684037,0.9999997127191744,0.006183633828875264,0.006183632052435832,0.006179137926047472,0.006179136150899627,0.9999999620481774,0.002045637972435588,0.0020456378947998986,0.002045095052970826,0.0020450949753557414,0.9999999997937957,0.00012080167769921689,0.00012080167767430708,0.00012079931186160205,0.00012079931183669272
10.569345535579883,0.9999985509701318,0.015670276723074902,0.01567025401637589,0.015644964046385157,0.015644941376364966,0.9999997006095936,0.006363403615430885,0.006363401710288891,0.006358683270835859,0.006358681367107091,0.9999999604489732,0.0021054161594996987,0.0021054160762283276,0.0021048459837883743,0.0021048459005395545,0.9999999997851083,0.0001243404416872279,0.00012434044166050818,0.00012433795676213455,0.00012433795673541536
10.766241770454933,0.9999984879900933,0.016125981946906738,0.01612595756426228,0.01609939949197072,0.016099375149519198,0.9999996876062068,0.006550570122002793,0.006550568075645345,0.006545610020030133,0.0065456079752221905,0.9999999587317919,0.0021676711389389132,0.0021676710494830096,0.0021670718357528597,0.0021670717463216885,0.9999999997757802,0.00012802630845647718,0.00012802630842777117,0.00012802369624488827,0.00012802369621618283
10.966805983368687,0.9999984203501191,0.01660022383525137,0.016600197612709765,0.016572285518062536,0.016572259339653693,0.9999996736416626,0.006745470057015401,0.006745467855575008,0.00674025372026666,0.006740251520528663,0.9999999568877507,0.0022325169974196203,0.002232516901170791,0.0022318865523790897,0.00223188645615744,0.9999999997657634,0.00013186609129979044,0.00013186609126890258,0.0001318633429734678,0.00013186334294258058
11.171106505048241,0.9999983476981741,0.01709382536566229,0.017093797121503426,0.01706443867149495,0.017064410475891776,0.9999996586434625,0.00694845618808237,0.006948453816181425,0.006942965884293465,0.006942963514266671,0.9999999549072881,0.002300073379210165,0.002300073275493619,0.0022994096231715856,0.00229940951948497,0.9999999997550053,0.00013586693864908048,0.0001358669386157938,0.0001358640446981295,0.00013586404466484352
11.37921293915315,0.9999982696552352,0.017607646861424766,0.017607616394125197,0.01757671234319006,0.017576681929417876,0.9999996425335642,0.007159898116135928,0.007159895556712668,0.007154114757425584,0.00715411220006968,0.9999999527801129,0.0023704657649252217,0.0023704656529920957,0.0023697663613926243,0.0023697662494925244,0.9999999997434508,0.00014003635118216992,0.00014003635114624371,0.00014003330135986666,0.00014003330132394121
11.591196185988858,0.9999981858132104,0.01814258761501419,0.01814255470097141,0.018109998352028027,0.018109965497108256,0.9999996252279526,0.007380183085750004,0.007380180319863678,0.0073740861195526275,0.0073740833559512746,0.9999999504951474,0.0024438257643762864,0.0024438256433950522,0.0024430881958536757,0.002443088074908955,0.9999999997310394,0.00014438219982661226,0.00014438219978777912,0.00014437898308910295,0.00014437898305027068
11.807128466661903,0.9999980957326914,0.018699587570525283,0.01869955196151199,0.018665228584618967,0.018665193041034367,0.9999996066361836,0.007609716833162579,0.007609713839775324,0.007603284124154688,0.007603281133297828,0.9999999480404664,0.0025202914242328078,0.002520291293279641,0.0025195129774263055,0.0025195128465135865,0.9999999997177063,0.00014891274470608877,0.00014891274466405163,0.00014890934914655286,0.0001489093491045167
