POLI_major,POLI_offset_major,POLI_minor,POLI_offset_minor
0.073464476,-0.6989935622021136,6.513444e-06,-0.6989935622021136
0.08758195,-0.6739792281665661,5.1798406e-06,-0.6739792281665661
0.084003024,-0.65915400324962,4.952921e-06,-0.65915400324962
0.07445946,-0.6489992295835182,6.6645025e-06,-0.6489992295835182
0.05488078,-0.6341009383371073,4.6655714e-06,-0.6341009383371073
6.576871e-06,-0.6090812753647908,5.2896316e-06,-0.6090812753647908
5.819121e-06,-0.5942726646918904,5.232656e-06,-0.5942726646918904
4.3416844e-06,-0.5692099788303083,0.013183151,-0.5692099788303083
4.966322e-06,-0.5441837924819152,5.113996e-06,-0.5441837924819152
0.04725323,-0.5293958821146988,4.3672653e-06,-0.5293958821146988
0.048958097,-0.5191993836668145,6.2957765e-06,-0.5191993836668145
0.06895219,-0.5043213261403885,6.225677e-06,-0.5043213261403885
0.056526553,-0.47928697040499657,6.2896806e-06,-0.47928697040499657
5.970049e-06,-0.4542994607084627,4.2277306e-06,-0.4542994607084627
5.779463e-06,-0.4394360021664133,5.0915583e-06,-0.4394360021664133
5.670772e-06,-0.4143911195959682,3.8078322e-06,-0.4143911195959682
5.670772e-06,-0.4143911195959682,3.8078322e-06,-0.4143911195959682
5.4486027e-06,-0.38939953775011094,4.2020724e-06,-0.38939953775011094
6.198286e-06,-0.37455573684032667,5.042754e-06,-0.37455573684032667
4.2710517e-06,-0.3494967811010568,5.0570457e-06,-0.3494967811010568
0.060211312,-0.3244996147917591,0.019814327,-0.3244996147917591
0.0609779,-0.3096837096135346,0.032088093,-0.3096837096135346
0.0332607,-0.28460498941515416,0.024822816,-0.28460498941515416
0.0332607,-0.28460498941515416,0.024822816,-0.28460498941515416
4.818625e-06,-0.25959969183340725,6.4791566e-06,-0.25959969183340725
3.8649428e-06,-0.24482646915723802,3.376805e-06,-0.24482646915723802
6.451398e-06,-0.21971800108320666,0.033427767,-0.21971800108320666
4.740317e-06,-0.19469976887505547,0.056303114,-0.19469976887505547
0.049085233,-0.18000000000000002,0.06406998,-0.18000000000000002
0.0716284,-0.16981166037701886,0.058321346,-0.16981166037701886
0.094629146,-0.1548418548067673,0.059672005,-0.1548418548067673
0.12935854,-0.12979984591670363,0.010537667,-0.12979984591670363
0.14596395,-0.10495713410721542,3.4093114e-06,-0.10495713410721542
0.14284712,-0.09000000000000001,4.5983197e-06,-0.09000000000000001
0.21284229,-0.06489992295835181,0.091923356,-0.06489992295835181
0.21284229,-0.06489992295835181,0.091923356,-0.06489992295835181
0.34766728,-0.04024922359499622,0.19423611,-0.04024922359499622
0.3724437,-0.025455844122715714,0.23782843,-0.025455844122715714
0.37236342,-0.0,0.37236342,-0.0
0.26180923,0.025455844122715714,0.4377537,0.025455844122715714
0.13592547,0.04024922359499622,0.40319073,0.04024922359499622
5.2562555e-06,0.06489992295835181,0.30884233,0.06489992295835181
5.2562555e-06,0.06489992295835181,0.30884233,0.06489992295835181
5.5001533e-06,0.09000000000000001,0.16115011,0.09000000000000001
0.030597921,0.10495713410721542,0.09283632,0.10495713410721542
0.06937079,0.12979984591670363,3.48828e-06,0.12979984591670363
0.094298825,0.1548418548067673,5.9077147e-06,0.1548418548067673
0.108101316,0.16981166037701886,0.023322197,0.16981166037701886
0.09015808,0.18000000000000002,0.024632666,0.18000000000000002
0.086782835,0.19469976887505547,0.017191613,0.19469976887505547
0.058527544,0.21971800108320666,0.029587451,0.21971800108320666
0.03911413,0.24482646915723802,0.056973085,0.24482646915723802
0.049093593,0.25959969183340725,0.064278185,0.25959969183340725
0.053066466,0.28460498941515416,0.07893716,0.28460498941515416
0.053066466,0.28460498941515416,0.07893716,0.28460498941515416
0.05368409,0.3096837096135346,0.07369376,0.3096837096135346
0.04451519,0.3244996147917591,0.05460224,0.3244996147917591
5.1963398e-06,0.3494967811010568,0.014496878,0.3494967811010568
5.6632484e-06,0.37455573684032667,4.882032e-06,0.37455573684032667
4.5228635e-06,0.38939953775011094,5.5721084e-06,0.38939953775011094
3.819705e-06,0.4143911195959682,5.31785e-06,0.4143911195959682
3.819705e-06,0.4143911195959682,5.31785e-06,0.4143911195959682
6.3106836e-06,0.4394360021664133,4.967536e-06,0.4394360021664133
6.3703187e-06,0.4542994607084627,4.3409636e-06,0.4542994607084627
5.6091635e-06,0.47928697040499657,6.5911554e-06,0.47928697040499657
4.1370913e-06,0.5043213261403885,6.323703e-06,0.5043213261403885
4.5141974e-06,0.5191993836668145,4.34772e-06,0.5191993836668145
4.5210395e-06,0.5293958821146988,4.1707767e-06,0.5293958821146988
3.4442778e-06,0.5441837924819152,5.1213988e-06,0.5441837924819152
6.2919667e-06,0.5692099788303083,0.034077786,0.5692099788303083
5.0746116e-06,0.5942726646918904,0.017984618,0.5942726646918904
5.2318974e-06,0.6090812753647908,0.02024666,0.6090812753647908
6.039918e-06,0.6341009383371073,4.616903e-06,0.6341009383371073
3.5294343e-06,0.6489992295835182,3.6350425e-06,0.6489992295835182
5.8724245e-06,0.65915400324962,5.5111295e-06,0.65915400324962
4.451208e-06,0.6739792281665661,5.061762e-06,0.6739792281665661
5.329896e-06,0.6989935622021136,6.2271806e-06,0.6989935622021136
