POLI_major,POLI_offset_major,POLI_minor,POLI_offset_minor
0.063344635,-0.9044888059008802,0.068113714,-0.9044888059008802
0.054740377,-0.8891344105364498,0.060599618,-0.8891344105364498
0.043079183,-0.8643749186550939,0.058478475,-0.8643749186550939
0.027857864,-0.8490583018850945,0.048919845,-0.8490583018850945
0.017525641,-0.8242742262135825,0.043809388,-0.8242742262135825
0.009465236,-0.8089993819527924,0.03413343,-0.8089993819527924
0.021238102,-0.7841887527885109,0.025359372,-0.7841887527885109
0.021238102,-0.7841887527885109,0.025359372,-0.7841887527885109
0.031619065,-0.7594208319502437,0.014165335,-0.7594208319502437
0.038987845,-0.7346999387505079,0.0053459033,-0.7346999387505079
0.04348556,-0.7193246832967711,0.0062689856,-0.7193246832967711
0.047741316,-0.6945761297366907,0.01710966,-0.6945761297366907
0.049764786,-0.6792466415080755,0.02138771,-0.6792466415080755
0.049322993,-0.6698805863734223,0.025402784,-0.6698805863734223
0.049310576,-0.6544677226571224,0.027150169,-0.6544677226571224
0.04908205,-0.6297428046432925,0.029607385,-0.6297428046432925
0.047631387,-0.6143777339715365,0.029164882,-0.6143777339715365
0.05734063,-0.5896202167497312,0.02889711,-0.5896202167497312
0.064797826,-0.5743100208075774,0.027797857,-0.5743100208075774
0.08726563,-0.5495161508090549,0.03296755,-0.5495161508090549
0.08726563,-0.5495161508090549,0.03296755,-0.5495161508090549
0.11165419,-0.524785670536077,0.04541841,-0.524785670536077
0.11999256,-0.5094349811310567,0.043650616,-0.5094349811310567
0.13770515,-0.4846648326421054,0.057031106,-0.4846648326421054
0.13418962,-0.4693825731745908,0.051982094,-0.4693825731745908
0.14041775,-0.4445672052682249,0.059972264,-0.4445672052682249
0.12674372,-0.42936697590755635,0.053127225,-0.42936697590755635
0.14192036,-0.4198285364288617,0.062208522,-0.4198285364288617
0.1285577,-0.4044996909763962,0.054658473,-0.4044996909763962
0.1322519,-0.37971041597512184,0.0515866,-0.37971041597512184
0.14094152,-0.3550154926196884,0.04611782,-0.3550154926196884
0.14138418,-0.3396233207540377,0.043992333,-0.3396233207540377
0.16499399,-0.31487140232164623,0.039868318,-0.31487140232164623
0.17812824,-0.2995797055876783,0.039363496,-0.2995797055876783
0.1959213,-0.2902412789387478,0.035477057,-0.2902412789387478
0.21641786,-0.27475807540452746,0.032978978,-0.27475807540452746
0.2576189,-0.2500639918100965,0.023448544,-0.2500639918100965
0.28397176,-0.2346912865872954,0.022072006,-0.2346912865872954
0.32460678,-0.20991426821443085,0.020638557,-0.20991426821443085
0.34614387,-0.19469976887505547,0.03821759,-0.19469976887505547
0.36165214,-0.18532134253776603,0.04730247,-0.18532134253776603
0.38300908,-0.16981166037701886,0.07483954,-0.16981166037701886
0.42674163,-0.1451206394693739,0.13589911,-0.1451206394693739
0.45123255,-0.12979984591670363,0.18080615,-0.12979984591670363
0.5288337,-0.10495713410721542,0.28194344,-0.10495713410721542
0.5660447,-0.09000000000000001,0.34295306,-0.09000000000000001
0.66853195,-0.06489992295835181,0.4755768,-0.06489992295835181
0.66853195,-0.06489992295835181,0.4755768,-0.06489992295835181
0.7554139,-0.04024922359499622,0.6108191,-0.04024922359499622
0.756432,-0.025455844122715714,0.6680854,-0.025455844122715714
0.7684793,-0.0,0.7684793,-0.0
0.7211753,0.025455844122715714,0.8176791,0.025455844122715714
0.632439,0.04024922359499622,0.8079781,0.04024922359499622
0.52256167,0.06489992295835181,0.7658304,0.06489992295835181
0.52256167,0.06489992295835181,0.7658304,0.06489992295835181
0.4001049,0.09000000000000001,0.6654254,0.09000000000000001
0.3123153,0.10495713410721542,0.58795685,0.10495713410721542
0.22445945,0.12979984591670363,0.4405205,0.12979984591670363
0.18138963,0.1451206394693739,0.35253793,0.1451206394693739
0.15038349,0.16981166037701886,0.20829076,0.16981166037701886
0.14986828,0.18532134253776603,0.13751869,0.18532134253776603
0.14337604,0.19469976887505547,0.08798817,0.19469976887505547
0.15572113,0.20991426821443085,0.04846883,0.20991426821443085
0.16608863,0.2346912865872954,0.07706753,0.2346912865872954
0.18190071,0.2500639918100965,0.098732315,0.2500639918100965
0.18369907,0.27475807540452746,0.13247699,0.27475807540452746
0.18773091,0.2902412789387478,0.1352229,0.2902412789387478
0.17769064,0.2995797055876783,0.14251237,0.2995797055876783
0.17343788,0.31487140232164623,0.13657312,0.31487140232164623
0.15545692,0.3396233207540377,0.12147648,0.3396233207540377
0.14116485,0.3550154926196884,0.10860765,0.3550154926196884
0.120911956,0.37971041597512184,0.08342788,0.37971041597512184
0.10282138,0.4044996909763962,0.05779891,0.4044996909763962
0.08878023,0.4198285364288617,0.048934788,0.4198285364288617
0.08557977,0.42936697590755635,0.038632207,0.42936697590755635
0.073281944,0.4445672052682249,0.034638003,0.4445672052682249
0.05757837,0.4693825731745908,0.032164723,0.4693825731745908
0.0500957,0.4846648326421054,0.034813363,0.4846648326421054
0.034018703,0.5094349811310567,0.042048562,0.5094349811310567
0.02804575,0.524785670536077,0.047657914,0.524785670536077
