#Band 0: S450_JCMT
#Band 1: S500_Herschel
#Band 2: S850_JCMT
#Band 3: Band9_ALMA
#Band 4: Band8_ALMA
#Band 5: Band7_ALMA
#Band 6: Band6_ALMA
#Band 7: Band5_ALMA
#Band 8: Band4_ALMA
#Cumulative number counts at band 0
#log10(S_low/mJy) N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
#S_mid/mJy N_total[deg^-2 mJy^-1] N_bulge[deg^-2 mJy^-1] N_disk[deg^-2 mJy^-1]
1.0 351853.451983 350879.937548 287602.973033
3.0 3402.56648915 1131.83919262 1935.99901468
5.0 936.531980876 214.099674156 641.75216413
7.0 387.217413628 73.8305101732 282.864793104
9.0 195.891145221 32.825403525 150.316527366
11.0 113.056010023 17.8748526607 87.4602591168
13.0 71.4067227888 11.1179080978 56.3542152851
15.0 47.9288893485 7.30380290208 37.7610317552
17.0 32.3063515421 4.85684355417 25.6281916551
19.0 23.3712424081 3.73532051972 18.76465606
21.0 17.6431330255 2.68794776853 14.0329411088
23.0 13.685361656 2.20133653457 10.6544688273
25.0 10.408846014 1.61740305382 8.02213377125
27.0 8.18433751591 1.26518920829 6.54839689127
29.0 6.55766567668 1.00102882414 5.1997886143
31.0 5.43150824952 0.880534613829 4.11070632877
33.0 4.69463980952 0.65808376402 3.64263266563
35.0 3.6101919167 0.523686375593 2.85942029859
37.0 3.20699975142 0.449536092323 2.51647523847
39.0 2.76673244451 0.301235525784 2.19206774916
41.0 2.37744345734 0.333676274714 1.85375708175
43.0 2.00205764829 0.32904188201 1.54325277055
45.0 1.7008221225 0.259525991444 1.3810490259
47.0 1.53398398514 0.231719635218 1.18177013961
49.0 1.2790923864 0.199278886288 0.91297536276
#Cumulative number counts at band 1
#log10(S_low/mJy) N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
-2.0 293781.410989 254512.486879 101989.200739
-1.75 254501.837045 214781.439667 88508.4197147
-1.5 212247.650337 171625.344527 75967.9384324
-1.25 167224.645709 126705.557092 63886.0859209
-1.0 125505.054737 87159.10701 51988.5524761
-0.75 91118.5374922 56539.5353805 40294.9693853
-0.5 62943.2558004 33769.2902871 29206.8048199
-0.25 39482.9867084 17397.5472873 19634.4018076
0.0 21437.8942661 7210.89259714 12162.9821902
0.25 10150.8030282 2416.67822597 6758.4461062
0.5 4320.15307265 733.578021174 3242.99971395
0.75 1622.8160245 218.696991719 1297.61141965
1.0 548.313538424 68.7743877328 448.201387224
1.25 169.711460834 21.0494116632 137.650732105
1.5 52.0256924992 6.99793298359 42.1266296827
1.75 17.4067789976 2.40061542086 13.7085336195
2.0 5.85787237832 0.806384330559 4.53243606487
2.25 1.84448829634 0.185375708175 1.50154323621
2.5 0.639546193202 0.0926878540873 0.50978319748
2.75 0.157569351948 0.0278063562262 0.101956639496
#S_low/mJy N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
0.0 714080.426639 704392.098927 578384.397957
2.0 8570.31754668 1895.18855252 5875.30696367
4.0 2922.18851338 443.882133224 2262.19537957
6.0 1420.53405174 188.10999987 1141.79386815
8.0 823.855991055 104.412867629 669.827315133
10.0 526.504086357 65.7991076166 430.859489725
12.0 357.617547425 44.7589647388 292.328223006
14.0 254.919405096 32.0051160163 208.955498254
16.0 188.601245497 23.6354027923 153.277904304
18.0 143.471529342 17.5921547058 116.842308862
20.0 110.187320939 13.5880394092 89.9257560355
