Xdata,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band5,omega_Band5,P_times_omega_Band5,P_Band5_robust_minus1,omega_Band5_robust_minus1,P_times_omega_Band5_robust_minus1,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2
50.0,0.9999710880862606,0.21465196982404325,0.21464576382480768,0.999944310383291,0.27760919749306456,0.2775937375432613,0.999944310383291,0.27760919749306456,0.2775937375432613,0.9998354063083932,0.4076626140944775,0.40759551539989364,0.9991488702886555,0.6219406461338859,0.6214112939712686
51.00000000000001,0.9999698484354186,0.21973046348718192,0.2197238382699216,0.9999419169632785,0.2836069943726711,0.2835905216172025,0.9999419169632785,0.2836069943726711,0.2835905216172025,0.9998282851942031,0.4147598015142426,0.4146885811154732,0.9991111006464756,0.6285400204090847,0.6279813115912789
52.00000000000001,0.99996852972954,0.22489032587790073,0.2248832485185215,0.9999393702565184,0.2896771140137635,0.28965955096464835,0.9999393702565184,0.2896771140137635,0.28965955096464835,0.9998207025225215,0.42188586177733195,0.42181021870653146,0.9990707722626194,0.635083871952731,0.6344937344033494
53.0,0.9999671287211962,0.23012926846818108,0.23012170382483635,0.9999366638935698,0.2958159056622583,0.29579716983457355,0.9999366638935698,0.2958159056622583,0.29579716983457355,0.9998126384805929,0.42903524793123016,0.4289548632352985,0.9990277613291242,0.6415677700381176,0.640944013042099
54.0,0.9999656420980904,0.23544491121142838,0.23543682181826386,0.9999337913711586,0.3020196503636721,0.3019996540567384,0.9999337913711586,0.3020196503636721,0.3019996540567384,0.9998040727787235,0.4362024845011898,0.4361170205604876,0.9989819395607807,0.6479875832848111,0.6473278927611635
55.00000000000001,0.9999640664825273,0.24083478768258826,0.24082613364153704,0.9999307460506651,0.30828457030007256,0.3082632203760603,0.9999307460506651,0.30828457030007256,0.3082632203760603,0.9997949846408007,0.44338218091784437,0.44329128076076096,0.9989331739908345,0.6543394777506493,0.6536414113769611
56.0,0.9999623984308523,0.24629635042152112,0.24628708929226992,0.9999275211565317,0.3146068381626365,0.31458403582285926,0.9999275211565317,0.3146068381626365,0.31458403582285926,0.9997853527943269,0.45056904410207527,0.45047233071579595,0.9988813267532881,0.6606199136030766,0.6598808957794837
57.0,0.9999606344328607,0.2518269764556584,0.2518170631439092,0.9999241097745972,0.32098258651472805,0.3209582270738871,0.9999241097745972,0.32098258651472805,0.3209582270738871,0.999775155459978,0.45775789016944984,0.4576549658071932,0.9988262548510362,0.6668256405030804,0.6660429571423352
58.00000000000001,0.9999587709111879,0.25742397297752434,0.2574133596216801,0.9999205048503637,0.32740791710181644,0.3273818897604543,0.9999205048503637,0.32740791710181644,0.3273818897604543,0.9997643703406716,0.46494365522546033,0.4648341007103726,0.9987678099090056,0.6729536918355205,0.6721244849647426
59.0,0.9999568042206717,0.26308458315239275,0.2630732190087942,0.9999166991871936,0.3338789100662303,0.3338510976816429,0.9999166991871936,0.3338789100662303,0.3338510976816429,0.999752974610153,0.47212140523145935,0.4720047792572769,0.9987058379114001,0.6790013779184535,0.6781226400770444
60.0,0.9999547306476955,0.26880599203120387,0.268793823358049,0.9999126854444442,0.34039163302665754,0.3403619118825049,0.9999126854444442,0.34039163302665754,0.3403619118825049,0.9997409449010812,0.47928634492946937,0.4791621833579732,0.9986401789220652,0.684966278321374,0.6840348467384381
61.00000000000001,0.9999525464095117,0.274585332543845,0.27457230248392034,0.999908456135536,0.3469421499844542,0.3469103895592992,0.999908456135536,0.3469421499844542,0.3469103895592992,0.9997282572926119,0.48643382582191,0.48630164097711603,0.9985706667869184,0.6908462334183403,0.6898587839517831
62.00000000000001,0.9999502476535459,0.280419691548055,0.2804057400104086,0.9999040036259607,0.3535265300211533,0.3534925927561446,0.9999040036259607,0.3535265300211533,0.3534925927561446,0.9997148872974664,0.4935593532096759,0.49341863316862156,0.9984971288172957,0.6966393352969326,0.6955923761151765
63.0,0.9999478304566816,0.2863061159094903,0.286291179450174,0.9998993201312293,0.3601408557540954,0.36010459681999907,0.9998993201312293,0.3601408557540954,0.36010459681999907,0.9997008098484722,0.5006585922988189,0.5005088001787253,0.9984193854529709,0.7023439181381066,0.7012337831240801
64.0,0.9999452908245298,0.29224161858891434,0.29222563029092324,0.9998943977147556,0.36678123151974334,0.3667424985835101,0.9998943977147556,0.36678123151974334,0.3667424985835101,0.9996859992845614,0.5077273733915393,0.5075679466330466,0.9983372499035132,0.707958548175447,0.7067813900311597
65.0,0.999942624690682,0.29822318471304277,0.29820607406557403,0.9998892282856818,0.37344379125702254,0.3734024242480635,0.9998892282856818,0.37344379125702254,0.3734024242480635,0.9996704293362058,0.5147616961878446,0.5145920458339361,0.998250527766531,0.7134820133352674,0.7122337963638578
66.0,0.9999398279159438,0.30424777760626265,0.30422947038341464,0.999883803596642,0.38012470606586735,0.38008053694219496,0.999883803596642,0.38012470606586735,0.38008053694219496,0.9996540731102795,0.5217577332167556,0.5215772431869163,0.9981590166212413,0.7189133126516085,0.7175898051922486
67.0,0.999936896287554,0.31031234476125147,0.3102927629002792,0.9998781152414615,0.38682019141906926,0.38677304393344036,0.9998781152414615,0.38682019141906926,0.38677304393344036,0.9996369030743226,0.5287118324371141,0.5285198587961869,0.9980625055956878,0.724251645542594,0.7228484120320413
68.0,0.9999338255183892,0.3164138237274461,0.3163928852066864,0.999872154652798,0.39352651400844385,0.39347620347462725,0.999872154652798,0.39352651400844385,0.39347620347462725,0.9996188910401779,0.5356205190392272,0.5354163892603568,0.9979607749057773,0.7294964010269465,0.7280087936598272
69.00000000000001,0.9999306112461472,0.3225491478973329,0.32252676661390406,0.9998659130997132,0.40023999820926554,0.40018633126853487,0.9998659130997132,0.40023999820926554,0.40018633126853487,0.9996000081469926,0.5424804964868432,0.542263508707833,0.9978535953641926,0.7346471469518494,0.7330702969099493
70.0,0.9999272490325214,0.3287152521716332,0.3286913378190128,0.9998593816851804,0.40695703214981854,0.40689980653775365,0.9998593816851804,0.40695703214981854,0.40689980653775365,0.9995802248435436,0.5492886468406933,0.549058069113026,0.9977407278570549,0.7397036192958645,0.7380324275147537
71.0,0.9999237343623497,0.3349090784856609,0.33488353643123536,0.999852551343528,0.4136740733757618,0.41361307768942523,0.999852551343528,0.4136740733757618,0.41361307768942523,0.9995595108698695,0.5560420304068553,0.5557970999365653,0.997621922786071,0.7446657116033513,0.7428948390425931
72.0,0.9999200626427532,0.3411275811803668,0.3411003123430433,0.9998454128378073,0.42038765410177553,0.4203226675673071,0.9998454128378073,0.42038765410177553,0.4203226675673071,0.9995378352381753,0.5627378847546657,0.5624778071341883,0.997496919473706,0.7495334645998574,0.7476573219808118
73.0,0.9999162292022544,0.34736773220291,0.3473386329308723,0.9998379567570927,0.4270943860456507,0.42702517828630837,0.9998379567570927,0.4270943860456507,0.42702517828630837,0.9995151662129788,0.5693736231498896,0.5690975715799478,0.9973654455287311,0.7543070560312951,0.7523197930041181
