a_max_f_micron,P_Band 4,omega_Band 4,P_times_omega_Band 4,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band4_nterms2_smooth,omega_Band4_nterms2_smooth,P_times_omega_Band4_nterms2_smooth,P_Band4_nterms2_smooth_B6,omega_Band4_nterms2_smooth_B6,P_times_omega_Band4_nterms2_smooth_B6,P_Band4_nterms2_smooth_B6_B7,omega_Band4_nterms2_smooth_B6_B7,P_times_omega_Band4_nterms2_smooth_B6_B7,P_Band5,omega_Band5,P_times_omega_Band5,P_Band5_robust_minus1,omega_Band5_robust_minus1,P_times_omega_Band5_robust_minus1,P_Band5_robust_minus2,omega_Band5_robust_minus2,P_times_omega_Band5_robust_minus2,P_Band6,omega_Band6,P_times_omega_Band6,P_Band6_smooth,omega_Band6_smooth,P_times_omega_Band6_smooth,P_Band6_smooth_B7,omega_Band6_smooth_B7,P_times_omega_Band6_smooth_B7,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2,P_Band7_nterms2_smooth,omega_Band7_nterms2_smooth,P_times_omega_Band7_nterms2_smooth,P_Band7_nterms2_smooth_B6,omega_Band7_nterms2_smooth_B6,P_times_omega_Band7_nterms2_smooth_B6
1000.0,0.20913189830346682,0.9678515431526805,0.20240863049545982,0.20913189830346682,0.9678515431526805,0.20240863049545982,0.20913189830346682,0.9678515431526805,0.20240863049545982,0.20913189830346682,0.9678515431526805,0.20240863049545982,0.20913189830346682,0.9678515431526805,0.20240863049545982,0.9484427230980531,0.9693124188581129,0.9193373100745492,0.9484427230980531,0.9693124188581129,0.9193373100745492,0.9484427230980531,0.9693124188581129,0.9193373100745492,0.670535387296612,0.9720378653025787,0.6517857864776366,0.670535387296612,0.9720378653025787,0.6517857864776366,0.670535387296612,0.9720378653025787,0.6517857864776366,0.14719925076235416,0.9748751914694235,0.1435008977711057,0.14719925076235416,0.9748751914694235,0.1435008977711057,0.14719925076235416,0.9748751914694235,0.1435008977711057
1198.3967935871742,0.8926535902970503,0.971234149235821,0.8669756503344567,0.8926535902970503,0.971234149235821,0.8669756503344567,0.8926535902970503,0.971234149235821,0.8669756503344567,0.8926535902970503,0.971234149235821,0.8669756503344567,0.8926535902970503,0.971234149235821,0.8669756503344567,0.9381211810520872,0.9724990105162178,0.9123219203174604,0.9381211810520872,0.9724990105162178,0.9123219203174604,0.9381211810520872,0.9724990105162178,0.9123219203174604,0.8288359729627016,0.9746100060612903,0.8077918326329941,0.8288359729627016,0.9746100060612903,0.8077918326329941,0.8288359729627016,0.9746100060612903,0.8077918326329941,0.6956743403988475,0.9767622054243863,0.6795084029851335,0.6956743403988475,0.9767622054243863,0.6795084029851335,0.6956743403988475,0.9767622054243863,0.6795084029851335
1396.7935871743487,0.9128056978593893,0.9740411466800172,0.8891103086390129,0.9128056978593893,0.9740411466800172,0.8891103086390129,0.9128056978593893,0.9740411466800172,0.8891103086390129,0.9128056978593893,0.9740411466800172,0.8891103086390129,0.9128056978593893,0.9740411466800172,0.8891103086390129,0.8802664780281193,0.975013715144545,0.8582718890594007,0.8802664780281193,0.975013715144545,0.8582718890594007,0.8802664780281193,0.975013715144545,0.8582718890594007,0.813639407318762,0.9766797877906489,0.7946651636781978,0.813639407318762,0.9766797877906489,0.7946651636781978,0.813639407318762,0.9766797877906489,0.7946651636781978,0.7687079245720936,0.9782457273575432,0.7519852427985352,0.7687079245720936,0.9782457273575432,0.7519852427985352,0.7687079245720936,0.9782457273575432,0.7519852427985352
1595.190380761523,0.8673902958719605,0.9763127770225581,0.846844228525172,0.8673902958719605,0.9763127770225581,0.846844228525172,0.8673902958719605,0.9763127770225581,0.846844228525172,0.8673902958719605,0.9763127770225581,0.846844228525172,0.8673902958719605,0.9763127770225581,0.846844228525172,0.8903980943663591,0.9770781603997866,0.8699885320669577,0.8903980943663591,0.9770781603997866,0.8699885320669577,0.8903980943663591,0.9770781603997866,0.8699885320669577,0.7980526515195452,0.9783790971760559,0.7807980326926501,0.7980526515195452,0.9783790971760559,0.7807980326926501,0.7980526515195452,0.9783790971760559,0.7807980326926501,0.691665118869445,0.9794071870226646,0.6774217884336201,0.691665118869445,0.9794071870226646,0.6774217884336201,0.691665118869445,0.9794071870226646,0.6774217884336201
1793.5871743486975,0.8582702823541057,0.9781879828878522,0.8395496762685501,0.8582702823541057,0.9781879828878522,0.8395496762685501,0.8582702823541057,0.9781879828878522,0.8395496762685501,0.8582702823541057,0.9781879828878522,0.8395496762685501,0.8582702823541057,0.9781879828878522,0.8395496762685501,0.8824498353432139,0.9787742846813078,0.863719206355192,0.8824498353432139,0.9787742846813078,0.863719206355192,0.8824498353432139,0.9787742846813078,0.863719206355192,0.8048639694826447,0.9797789161407569,0.7885887476604528,0.8048639694826447,0.9797789161407569,0.7885887476604528,0.8048639694826447,0.9797789161407569,0.7885887476604528,0.6816479295872266,0.9803091081655132,0.6682256739365227,0.6816479295872266,0.9803091081655132,0.6682256739365227,0.6816479295872266,0.9803091081655132,0.6682256739365227
1991.9839679358718,0.8777785007055705,0.9797599178275118,0.8600121917220462,0.8777785007055705,0.9797599178275118,0.8600121917220462,0.8777785007055705,0.9797599178275118,0.8600121917220462,0.8777785007055705,0.9797599178275118,0.8600121917220462,0.8777785007055705,0.9797599178275118,0.8600121917220462,0.8471903238886175,0.9801995566477927,0.8304155798719227,0.8471903238886175,0.9801995566477927,0.8304155798719227,0.8471903238886175,0.9801995566477927,0.8304155798719227,0.772828617823922,0.9809389779504579,0.758097714499063,0.772828617823922,0.9809389779504579,0.758097714499063,0.772828617823922,0.9809389779504579,0.758097714499063,0.7169278425691399,0.980995578881407,0.7033030439373116,0.7169278425691399,0.980995578881407,0.7033030439373116,0.7169278425691399,0.980995578881407,0.7033030439373116
2190.380761523046,0.8574637366236245,0.9810851821169375,0.8412449662040584,0.8574637366236245,0.9810851821169375,0.8412449662040584,0.8574637366236245,0.9810851821169375,0.8412449662040584,0.8574637366236245,0.9810851821169375,0.8412449662040584,0.8574637366236245,0.9810851821169375,0.8412449662040584,0.8557998589066567,0.9814001306072067,0.8398820933046218,0.8557998589066567,0.9814001306072067,0.8398820933046218,0.8557998589066567,0.9814001306072067,0.8398820933046218,0.7869171098454594,0.9819076074945325,0.7726798966248672,0.7869171098454594,0.9819076074945325,0.7726798966248672,0.7869171098454594,0.9819076074945325,0.7726798966248672,0.6810022394137445,0.9815016145877532,0.6684047975224658,0.6810022394137445,0.9815016145877532,0.6684047975224658,0.6810022394137445,0.9815016145877532,0.6684047975224658
2388.7775551102204,0.8336444692508259,0.9822189265209554,0.8188213756876779,0.8336444692508259,0.9822189265209554,0.8188213756876779,0.8336444692508259,0.9822189265209554,0.8188213756876779,0.8336444692508259,0.9822189265209554,0.8188213756876779,0.8336444692508259,0.9822189265209554,0.8188213756876779,0.8418416655521811,0.9824236764345678,0.8270451840475737,0.8418416655521811,0.9824236764345678,0.8270451840475737,0.8418416655521811,0.9824236764345678,0.8270451840475737,0.7505879312030084,0.9827172252155559,0.737615689032105,0.7505879312030084,0.9827172252155559,0.737615689032105,0.7505879312030084,0.9827172252155559,0.737615689032105,0.6476371537191741,0.981852534979612,0.6358841811261517,0.6476371537191741,0.981852534979612,0.6358841811261517,0.6476371537191741,0.981852534979612,0.6358841811261517
2587.1743486973946,0.844325949707251,0.9831926099019956,0.8301350341006531,0.844325949707251,0.9831926099019956,0.8301350341006531,0.844325949707251,0.9831926099019956,0.8301350341006531,0.844325949707251,0.9831926099019956,0.8301350341006531,0.844325949707251,0.9831926099019956,0.8301350341006531,0.8176212394158248,0.9832994468788835,0.8039665124740076,0.8176212394158248,0.9832994468788835,0.8039665124740076,0.8176212394158248,0.9832994468788835,0.8039665124740076,0.7654862967659355,0.9833943005398357,0.7527748613809662,0.7654862967659355,0.9833943005398357,0.7527748613809662,0.7654862967659355,0.9833943005398357,0.7527748613809662,0.6673723628783583,0.9820677357183577,0.6554048652929595,0.6673723628783583,0.9820677357183577,0.6554048652929595,0.6673723628783583,0.9820677357183577,0.6554048652929595
2785.5711422845698,0.8374793518123761,0.9840371050846638,0.8241107569256313,0.8374793518123761,0.9840371050846638,0.8241107569256313,0.8374793518123761,0.9840371050846638,0.8241107569256313,0.8374793518123761,0.9840371050846638,0.8241107569256313,0.8374793518123761,0.9840371050846638,0.8241107569256313,0.8250030977792584,0.9840544769790596,0.8118479918912721,0.8250030977792584,0.9840544769790596,0.8118479918912721,0.8250030977792584,0.9840544769790596,0.8118479918912721,0.7299729984440106,0.9839603196576535,0.7182644648904245,0.7299729984440106,0.9839603196576535,0.7182644648904245,0.7299729984440106,0.9839603196576535,0.7182644648904245,0.6536850464158991,0.9821616442106661,0.642024379983765,0.6536850464158991,0.9821616442106661,0.642024379983765,0.6536850464158991,0.9821616442106661,0.642024379983765
