a_max_f_micron,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2
80.0,0.999996729500269,0.2176936434479939,0.21769293148099156,0.9999936919935485,0.28078512872668177,0.2807833575322783,0.9999812468253415,0.4101433561954928,0.41013566470549906,0.9999010177920779,0.6206341562234261,0.6205727244843312
111.90380761523048,0.9999895334608476,0.34704112047458163,0.3470374881551067,0.9999796968602832,0.4256447122363192,0.425636070312257,0.9999386134218538,0.5651002413980922,0.5650655518279631,0.9996536377235747,0.74480557600129,0.7445476034464921
143.80761523046093,0.99997344670358,0.4778161298959121,0.4778034423025807,0.9999480308421417,0.558630574199218,0.558601542638723,0.9998385334927281,0.6849288087337031,0.684818215671227,0.9989835402701094,0.8209786486731675,0.8201441569376912
175.7114228456914,0.9999426644691125,0.5914274116325513,0.5913935018279239,0.9998863293963022,0.6647042512224357,0.6646286938889188,0.9996323933327755,0.7684177221274102,0.7681352466495428,0.997300582519349,0.8661265371253771,0.8637885000106053
207.61523046092185,0.9998890813458444,0.6816158218453375,0.6815402179357273,0.999776174500861,0.7434007369895557,0.7432343449485387,0.9992354182689492,0.8245438280015325,0.8239133968541918,0.993233040746687,0.89338532743578,0.8873398253275143
239.51903807615233,0.9998013143217255,0.7499469674283908,0.7497979637064974,0.9995896671287011,0.8000775391251961,0.7997492410113051,0.9984967922271795,0.8621994336275013,0.860903368737151,0.9839163447351565,0.910894567477284,0.8962440532713607
271.4228456913828,0.9996631806054985,0.8007340352681396,0.8004643325152239,0.9992838530557498,0.8406528711554851,0.840050840170632,0.9971481985702554,0.8878029451672261,0.8852711074588667,0.9646650549028709,0.9234115123901212,0.8907828172977593
303.32665330661325,0.999451389892953,0.8383556247005449,0.8378956943315345,0.9987919573553995,0.8698770622757084,0.8688262136889195,0.9947232913266969,0.9056007574712095,0.9008221660997113,0.9310050876767546,0.9332582013368121,0.8688681335606291
335.2304609218437,0.9991321301926323,0.8663684234611837,0.865616528464405,0.9980101130092963,0.8911747967370808,0.8894014596026106,0.9904523218582947,0.9183677203111882,0.9095994409019253,0.8834692713134409,0.9411284901472926,0.8314581014027475
367.13426853707415,0.9986561433231511,0.8874230102783737,0.8862304409408217,0.9967782865562506,0.9069267577744896,0.9040048996464715,0.9831748416502601,0.9279340531461876,0.912321415763887,0.8297988669735115,0.947223986518263,0.7860053907829874
399.03807615230465,0.9979518409698905,0.9034289840929743,0.9015786178611417,0.9948550058213159,0.9187805755096315,0.9140534547971465,0.9713875877877975,0.9354918020376832,0.9087251249766449,0.7824732747142255,0.951918317745965,0.7448506433471418
430.9418837675351,0.9969160909687331,0.9157502920498586,0.9129262014538208,0.9918883619563271,0.9278888194257727,0.9203621211778199,0.9535977243341842,0.9417568620311813,0.8980572005090367,0.7539839451696517,0.9556823313760413,0.7205691345398381
462.84569138276555,0.9954026657297164,0.9253658699296917,0.9211116537033132,0.9873919812458273,0.9350691426862051,0.9232797733987692,0.9290130069634766,0.9470875184189553,0.8798566233439706,0.7465685370034792,0.9588283123395385,0.7158310503808443
494.749498997996,0.9932092405549512,0.9329866815183799,0.9266509933987542,0.9807446012442086,0.9409040309545628,0.9227865486476011,0.8982127541377137,0.951625198132419,0.8547618901213676,0.749115930800392,0.9614726574896876,0.7202544847545138
526.6533066132265,0.9900655554963421,0.9391361356291854,0.9298063398083976,0.9712413526037096,0.9457996611085232,0.9185997421471722,0.8632897485380819,0.9554387960295606,0.8248205179678871,0.7490600107844387,0.9636844837283587,0.7218575097743606
558.557114228457,0.9856280347217676,0.944203145056471,0.9306330902401215,0.9582211037430594,0.9500223397247289,0.9103314549515935,0.8274828549105334,0.958613030801173,0.7932358474817938,0.7389121276291524,0.965562232186132,0.7134656433430084
590.4609218436874,0.9794892175766265,0.9484758986331135,0.9290219158424361,0.941261015763508,0.9537287017644877,0.8977076465856534,0.7947463918864645,0.9612651679740715,0.7639620238935295,0.7157320483032957,0.9671888010834031,0.692248021695433
622.3647294589179,0.9712117729298297,0.9521630916205784,0.9247520043311699,0.9203723969548356,0.9569991864073827,0.8807956350775904,0.7691334395402574,0.9635213222165027,0.7410764686267552,0.681379992546318,0.9685949054563346,0.6599811894602389
