a_max_f_micron,P_Band4,omega_Band4,P_times_omega_Band4,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7,omega_Band7,P_times_omega_Band7
96.0408821250538,0.9999995480938245,0.04035460556530204,0.040354587328806577,0.9999988852749756,0.06301721526062541,0.06301714501375859,0.9999974065697591,0.09574841254752739,0.09574816423069878,0.9999863339024176,0.20177676902959307,0.20177401152857766
98.28363332770026,0.9999995040105,0.04286385121912236,0.04286382995910223,0.9999987759489125,0.0668033488033679,0.06680326703265614,0.9999971501331043,0.10121739496456571,0.10121710650846252,0.9999849366935303,0.21141349039484755,0.2114103058086499
100.57875736205837,0.9999994556045249,0.04552354235997632,0.04552351757716585,0.9999986558107787,0.0708008437489719,0.07080074857924087,0.9999968680013962,0.10695988555303873,0.10695955055482652,0.9999833918816988,0.22135699255329275,0.22135331623017362
102.92747724096083,0.999999402448721,0.04834167946710459,0.04834165058047219,0.9999985237774529,0.07501909571704021,0.07501898497215966,0.9999965575464416,0.11298451672106585,0.11298412777711422,0.9999816830996068,0.23160190108472137,0.23159765885576833
105.3310445370937,0.9999993440731746,0.05132654771595027,0.05132651404949077,0.9999983786551028,0.0794676098920723,0.0794674810476685,0.9999962158625526,0.11929959131956114,0.11929913987351017,0.9999797920395083,0.24214130428481623,0.24213641110290582
107.79074004992732,0.9999992799608804,0.05448670787043382,0.05448666863787265,0.9999982191275124,0.08415595962379364,0.08415580975276048,0.9999958397358379,0.12591299935602657,0.12591247552468782,0.9999776982034155,0.25296671216086014,0.25296107054870287
110.30787448822151,0.9999992095429254,0.0578309839124838,0.05783093819957344,0.9999980437431224,0.08909373926366285,0.08909356497342266,0.9999954256098701,0.13283212921333667,0.13283152158735587,0.9999753786181655,0.2640680301836215,0.2640615284638201
112.8837891684689,0.9999991321931685,0.061368447039276866,0.061368393783319285,0.999997850900627,0.09429051096770252,0.09429030832802453,0.9999949695472581,0.1400637738524204,0.14006306926822518,0.9999728075100259,0.2754335493752445,0.2754260596512146
115.51985672964794,0.9999990472223494,0.0651083956457038,0.06510833361187957,0.9999976388329683,0.09975574524933271,0.09975550970935582,0.9999944671866091,0.1476140326403245,0.14761321591942803,0.9999699559326289,0.28704995411158096,0.2870413299634208
118.21748186466719,0.99999895387158,0.06906033090121713,0.06906025865524228,0.9999974055895169,0.10549875513407667,0.10549848142700038,0.9999939136942646,0.1554882096195381,0.1554872632707561,0.9999667913410185,0.2989023487610225,0.2988924226148537
