a_max_f_micron,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band4_nterms2_smooth,omega_Band4_nterms2_smooth,P_times_omega_Band4_nterms2_smooth,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band6_smooth,omega_Band6_smooth,P_times_omega_Band6_smooth,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2,P_Band7_nterms2_smooth,omega_Band7_nterms2_smooth,P_times_omega_Band7_nterms2_smooth
120.0,0.9999071233218544,0.6433316675792937,0.6432719170710631,0.9999071233218544,0.6433316675792937,0.6432719170710631,0.9998191578767887,0.7137489554178114,0.7136198795412737,0.999444971348546,0.8106764485391319,0.8102264998831338,0.999444971348546,0.8106764485391319,0.8102264998831338,0.9965568937995012,0.9007073891987211,0.8976061580021358,0.9965568937995012,0.9007073891987211,0.8976061580021358
127.77555110220442,0.9998920736529219,0.6649636839564862,0.6648919168551372,0.9998920736529219,0.6649636839564862,0.6648919168551372,0.999789472577698,0.7325661138305408,0.7324118885749303,0.9993498852615565,0.8240965221724357,0.8235607648774714,0.9993498852615565,0.8240965221724357,0.8235607648774714,0.9958431993347991,0.9073654806671071,0.9035937432334897,0.9958431993347991,0.9073654806671071,0.9035937432334897
135.5511022044088,0.9998738492094608,0.6857191521465821,0.6856326481334509,0.9998738492094608,0.6857191521465821,0.6856326481334509,0.9997533839555253,0.7503836619547964,0.7501986053042466,0.9992327624157977,0.8365755690352983,0.835933716816709,0.9992327624157977,0.8365755690352983,0.835933716816709,0.9949120418906175,0.913390945853771,0.9087436509837779,0.9949120418906175,0.913390945853771,0.9087436509837779
143.32665330661322,0.9998520103869334,0.7055030428347121,0.7053986357123857,0.9998520103869334,0.7055030428347121,0.7053986357123857,0.9997099441224097,0.7671551569491694,0.7669326390868725,0.9990896437559001,0.848121636652012,0.8473495438243297,0.9990896437559001,0.848121636652012,0.8473495438243297,0.993697880674731,0.9188079696218018,0.9130175321602371,0.993697880674731,0.9188079696218018,0.9130175321602371
151.10220440881767,0.9998260777117182,0.7242535001088019,0.7241275362827668,0.9998260777117182,0.7242535001088019,0.7241275362827668,0.9996580987166956,0.7828628957574715,0.7825952339287606,0.9989158804235245,0.8587601070069024,0.8578291083634001,0.9989158804235245,0.8587601070069024,0.8578291083634001,0.9921134633687534,0.9236485525533731,0.916364164409263,0.9921134633687534,0.9236485525533731,0.916364164409263
158.87775551102206,0.9997955275734491,0.7419374461289729,0.741785740379014,0.9997955275734491,0.7419374461289729,0.741785740379014,0.9995966714284044,0.7975123550647372,0.7971906955457391,0.9987059815732955,0.8685286717875172,0.867404779682103,0.9987059815732955,0.8685286717875172,0.867404779682103,0.9900424463004596,0.9279502343888277,0.9187101200993999,0.9900424463004596,0.9279502343888277,0.9187101200993999
166.65330661322645,0.9997597872841804,0.7585458641400175,0.7583636517779186,0.9997597872841804,0.7585458641400175,0.7583636517779186,0.9995243457057914,0.8111269445062741,0.8107411284919714,0.9984534264469864,0.8774731435616941,0.8761160668043819,0.9984534264469864,0.8774731435616941,0.8761160668043819,0.9873298746825068,0.9317544965000372,0.9199490502642439,0.9873298746825068,0.9317544965000372,0.9199490502642439
174.4288577154309,0.9997182293743324,0.774089141467567,0.7738710258858532,0.9997182293743324,0.774089141467567,0.7738710258858532,0.9994396431713498,0.8237433156003621,0.8232817254084105,0.9981504326542817,0.8856441049890922,0.8840060465725764,0.9981504326542817,0.8856441049890922,0.8840060465725764,0.9837702843296932,0.9351057347617381,0.9199292345648817,0.9837702843296932,0.9351057347617381,0.9199292345648817
182.20440881763528,0.9996701650173211,0.788592732712747,0.7883326272424119,0.9996701650173211,0.788592732712747,0.7883326272424119,0.9993408981919409,0.8354073436604776,0.8348567251698052,0.9977876708636441,0.8930943290767241,0.8911185104709934,0.9977876708636441,0.8930943290767241,0.8911185104709934,0.9790935700610242,0.9380506706766598,0.9184393800509489,0.9790935700610242,0.9380506706766598,0.9184393800509489
189.97995991983967,0.9996148364561503,0.8020932978376812,0.801784360740588,0.9996148364561503,0.8020932978376812,0.801784360740588,0.9992262279359171,0.8461708090055987,0.8455160656721478,0.9973539140945065,0.8998768685162528,0.8974957170177923,0.9973539140945065,0.8998768685162528,0.8974957170177923,0.9729496305492757,0.9406380427322539,0.9151934361569403,0.9729496305492757,0.9406380427322539,0.9151934361569403
197.75551102204412,0.9995514082859053,0.814635386555502,0.8142699478710849,0.9995514082859053,0.814635386555502,0.8142699478710849,0.9990934971409416,0.856088744078682,0.8553126971845669,0.9968356075299701,0.9060437007051638,0.9031766228411344,0.9968356075299701,0.9060437007051638,0.9031766228411344,0.964894462174149,0.9429183759537415,0.9098167192400074,0.964894462174149,0.9429183759537415,0.9098167192400074
205.5310621242485,0.9994789574216034,0.8262686801658429,0.825838159002281,0.9994789574216034,0.8262686801658429,0.825838159002281,0.9989402766806263,0.8652173786830701,0.8643004876505523,0.9962163422884086,0.9116448182468085,0.9081954663000167,0.9962163422884086,0.9116448182468085,0.9081954663000167,0.9543831553976464,0.9449435590365802,0.9018382155460136,0.9543831553976464,0.9449435590365802,0.9018382155460136
213.3066132264529,0.9993964615629528,0.8370457621812184,0.8365405728901746,0.9993964615629528,0.8370457621812184,0.8365405728901746,0.9987637948664191,0.8736125997804874,0.8725326353998778,0.995476214027842,0.9167276658780765,0.9125805861228882,0.995476214027842,0.9167276658780765,0.9125805861228882,0.9407791308358289,0.9467658823332058,0.8906975838864499,0.9407791308358289,0.9467658823332058,0.8906975838864499
221.08216432865734,0.9993027859319086,0.8470203658371122,0.8464298113220906,0.9993027859319086,0.8470203658371122,0.8464298113220906,0.9985608802473763,0.8813288391414308,0.8800605014004654,0.9945910448568037,0.9213368393390281,0.9163533697032691,0.9945910448568037,0.9213368393390281,0.9163533697032691,0.9233928135054805,0.9484361667163462,0.87577914041456,0.9233928135054805,0.9484361667163462,0.87577914041456
228.85771543086176,0.9991966680337584,0.8562460355939127,0.8555581857825524,0.9991966680337584,0.8562460355939127,0.8555581857825524,0.9983278944729794,0.8884183067444793,0.8869327775834656,0.9935314452352748,0.9255139768221198,0.9195272389775273,0.9935314452352748,0.9255139768221198,0.9195272389775273,0.9015634173860299,0.9500007562072061,0.8564859282854814,0.9015634173860299,0.9500007562072061,0.8564859282854814
236.63326653306615,0.9990767001549062,0.8647751372455813,0.8639766904953216,0.9990767001549062,0.8647751372455813,0.8639766904953216,0.9980606535617043,0.8949304966024977,0.8931949163313894,0.9922616921235594,0.9292977877177142,0.9221065953274594,0.9922616921235594,0.9292977877177142,0.9221065953274594,0.8747886571296148,0.9514975787748946,0.8323592891985699,0.8747886571296148,0.9514975787748946,0.8323592891985699
244.40881763527057,0.9989413092710234,0.87265815412931,0.8717342790319675,0.9989413092710234,0.87265815412931,0.8717342790319675,0.9977543356702693,0.9009119021981791,0.8988887564751827,0.9907384017958142,0.9327241755937556,0.9240856590440758,0.9907384017958142,0.9327241755937556,0.9240856590440758,0.8428838708082506,0.9529521863245736,0.8032280275044418,0.8428838708082506,0.9529521863245736,0.8032280275044418
252.18436873747498,0.9987887339943476,0.879943212851766,0.8788773675511342,0.9987887339943476,0.879943212851766,0.8788773675511342,0.9974033731867612,0.9064058893843302,0.9040522915482773,0.9889089823765763,0.9358264224188237,0.9254471550753111,0.9889089823765763,0.9358264224188237,0.9254471550753111,0.8061191513655755,0.9543753223429244,0.7693402249313258,0.8061191513655755,0.9543753223429244,0.7693402249313258
259.95991983967934,0.9986169981385465,0.8866757892644238,0.8854495149973654,0.9986169981385465,0.8866757892644238,0.8854495149973654,0.9970013266788484,0.9114526845503456,0.9087195357016925,0.9867098651189478,0.9386354089153218,0.9261608177267056,0.9867098651189478,0.9386354089153218,0.9261608177267056,0.7652639806556989,0.9557634946411362,0.7314113764744776,0.7652639806556989,0.9557634946411362,0.7314113764744776
267.73547094188376,0.9984238804235072,0.8928985530485538,0.8914912381592719,0.9984238804235072,0.8928985530485538,0.8914912381592719,0.9965407379237945,0.9160894446323677,0.9129204511581388,0.9840645387673838,0.9411798516990818,0.9261817166594116,0.9840645387673838,0.9411798516990818,0.9261817166594116,0.7214934585954645,0.9571028738794594,0.6905434627069499,0.7214934585954645,0.9571028738794594,0.6905434627069499
275.5110220440882,0.9982068797803846,0.8986513165496742,0.897039926703585,0.9982068797803846,0.8986513165496742,0.897039926703585,0.996012958943043,0.9203503829981964,0.9166809082343964,0.9808814534701277,0.9434865416532705,0.9254484503063641,0.9808814534701277,0.9434865416532705,0.9254484503063641,0.6761782788203298,0.9583751712839856,0.6480324737829442,0.6761782788203298,0.9583751712839856,0.6480324737829442
283.2865731462926,0.9979631756492868,0.9039710600737149,0.9021298298062167,0.9979631756492868,0.9039710600737149,0.9021298298062167,0.9954079536822722,0.9242669313910364,0.9200226548321446,0.9770519263095387,0.945580569956548,0.9238813173569168,0.9770519263095387,0.945580569956548,0.9238813173569168,0.6306438368270076,0.9595632453765146,0.6051426467424206,0.6306438368270076,0.9595632453765146,0.6051426467424206
291.06212424849696,0.9976895825883438,0.9088920115678429,0.9067920916390014,0.9976895825883438,0.9088920115678429,0.9067920916390014,0.9947140687510093,0.927867923078689,0.9229632770291513,0.9724482766522285,0.9474855285590749,0.9213806694001982,0.9724482766522285,0.9474855285590749,0.9213806694001982,0.5859903330301011,0.9606547220757411,0.5629343805161027,0.5859903330301011,0.9606547220757411,0.5629343805161027
298.8376753507014,0.997382498434224,0.9134457634311927,0.9110548177151601,0.997382498434224,0.9134457634311927,0.9110548177151601,0.9939177695138356,0.9311797862881456,0.9255161362038837,0.966922551272473,0.9492236710446676,0.9178257737347326,0.966922551272473,0.9492236710446676,0.9178257737347326,0.5430178366128684,0.961643256710185,0.5221894408521179,0.5430178366128684,0.961643256710185,0.5221894408521179
306.6132264529058,0.9970378451717352,0.9176614131829142,0.9149431579971421,0.9970378451717352,0.9176614131829142,0.9149431579971421,0.9930033378801,0.9342267400638088,0.9276902712202066,0.9603063649608625,0.9508160183835459,0.9130746743604636,0.9603063649608625,0.9508160183835459,0.9130746743604636,0.50224500236984,0.9625281236190812,0.48342493972810313,0.50224500236984,0.9625281236190812,0.48342493972810313
314.38877755511027,0.9966510015859406,0.9215657179439306,0.9184793958160848,0.9966510015859406,0.9215657179439306,0.9184793958160848,0.9919525284739936,0.9370309870312955,0.9294902568441755,0.9524125657434511,0.952282393155219,0.906965717377276,0.9524125657434511,0.952282393155219,0.906965717377276,0.4639832565192468,0.9633131107334642,0.4469611541657985,0.4639832565192468,0.9633131107334642,0.4469611541657985
322.1643286573146,0.9962167266874568,0.9251832552666422,0.9216830341477801,0.9962167266874568,0.9251832552666422,0.9216830341477801,0.9907441806252999,0.93961289930986,0.9309160120317097,0.9430395923815685,0.9536413670389466,0.89932156605061,0.9430395923815685,0.9536413670389466,0.89932156605061,0.42842974946045764,0.9640054444942441,0.4130086110631861,0.42842974946045764,0.9640054444942441,0.4130086110631861
329.93987975951904,0.9957290728249708,0.9285365848774975,0.9245708727441354,0.9957290728249708,0.9285365848774975,0.9245708727441354,0.9893537849984365,0.9419911951097502,0.931962554317032,0.9319794453347698,0.9549101118422472,0.8899565963793006,0.9319794453347698,0.9549101118422472,0.8899565963793006,0.3957541649909782,0.9646150603965633,0.38175042776496393,0.3957541649909782,0.9646150603965633,0.38175042776496393
