a_max_f_micron,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2
1.0,0.999999999995417,2.2335841228740756e-06,2.2335841228638392e-06,0.9999999999912065,3.165996386904401e-06,3.1659963868765606e-06,0.9999999999742798,5.787424472369953e-06,5.7874244722211e-06,0.9999999998717524,1.4682777668738073e-05,1.4682777666855041e-05
1.0233520470972581,0.9999999999951863,2.3141249835604907e-06,2.3141249835493514e-06,0.9999999999907638,3.2801587602006586e-06,3.2801587601703623e-06,0.9999999999729854,5.996110936759995e-06,5.996110936598013e-06,0.9999999998652991,1.5212204431873898e-05,1.52122044298248e-05
1.0472494122981486,0.9999999999949344,2.3988461650670163e-06,2.3988461650548647e-06,0.9999999999902802,3.400246496392085e-06,3.4002464963590354e-06,0.9999999999715711,6.215628749650655e-06,6.215628749473952e-06,0.9999999998582465,1.5769109023601088e-05,1.576910902136576e-05
1.071704829896711,0.9999999999946588,2.4879903464721765e-06,2.487990346458888e-06,0.9999999999897516,3.526603577219664e-06,3.526603577183522e-06,0.999999999970025,6.446606689489653e-06,6.446606689296416e-06,0.9999999998505379,1.6355086515396692e-05,1.6355086512952227e-05
1.0967313315588179,0.9999999999943575,2.5818152011502352e-06,2.5818152011356675e-06,0.9999999999891737,3.659595238121413e-06,3.659595238081793e-06,0.9999999999683349,6.689712384469249e-06,6.689712384257419e-06,0.9999999998421103,1.697183052582177e-05,1.6971830523142095e-05
1.1223422532664178,0.9999999999940286,2.6805943603293845e-06,2.6805943603133773e-06,0.9999999999885419,3.799609333282582e-06,3.7996093332390457e-06,0.9999999999664869,6.945654807486123e-06,6.945654807253352e-06,0.9999999998328962,1.76211395487596e-05,1.762113954581504e-05
1.1485512424239381,0.9999999999936685,2.7846184392463863e-06,2.7846184392287553e-06,0.9999999999878512,3.947057790564966e-06,3.947057790517014e-06,0.9999999999644662,7.215186935720663e-06,7.21518693546428e-06,0.9999999998228203,1.830492369847009e-05,1.830492369522683e-05
1.1753722651306362,0.9999999999932745,2.894196131558994e-06,2.8941961315395293e-06,0.9999999999870958,4.102378162510795e-06,4.102378162457857e-06,0.9999999999622564,7.4991085854741945e-06,7.499108585191152e-06,0.9999999998118005,1.9025211900027264e-05,1.902521189644673e-05
1.2028196136227776,0.999999999992844,3.0096553757703042e-06,3.009655375748767e-06,0.9999999999862692,4.2660352797860534e-06,4.266035279727478e-06,0.999999999959839,7.798269434565097e-06,7.798269434251911e-06,0.9999999997997469,1.978415955445821e-05,1.978415955049637e-05
1.2309079138896024,0.9999999999923727,3.131344599025417e-06,3.1313445990015332e-06,0.9999999999853649,4.4385230140424615e-06,4.4385230139775034e-06,0.999999999957194,8.11357224435812e-06,8.113572244010812e-06,0.9999999997865604,2.0584056710778205e-05,2.0584056706384754e-05
1.2596521334671404,0.9999999999918572,3.259634043136743e-06,3.2596340431102003e-06,0.9999999999843758,4.6203661574171025e-06,4.620366157344913e-06,0.9999999999543008,8.445976295191654e-06,8.44597629480568e-06,0.9999999997721332,2.1427336778973375e-05,2.1427336774090796e-05
1.2890675894140264,0.9999999999912929,3.394917178553542e-06,3.394917178523982e-06,0.9999999999832934,4.81212242670476e-06,4.812122426624366e-06,0.9999999999511349,8.796501049584598e-06,8.796501049154756e-06,0.9999999997563455,2.2316585820443886e-05,2.231658581500635e-05
1.3191699564735717,0.9999999999906756,3.5376122120573844e-06,3.537612212024398e-06,0.9999999999821088,5.014384600437946e-06,5.014384600348233e-06,0.9999999999476702,9.166230058486404e-06,9.166230058006738e-06,0.9999999997390683,2.3254552454512473e-05,2.3254552448444624e-05
1.3499752754264305,0.9999999999900002,3.6881636948365153e-06,3.6881636947996346e-06,0.9999999999808122,5.227782797992202e-06,5.227782797891892e-06,0.9999999999438776,9.556315126916679e-06,9.556315126380355e-06,0.9999999997201584,2.424415842298586e-05,2.4244158416201337e-05
