a_max_f_micron,P_Band4,omega_Band4,P_times_omega_Band4,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7,omega_Band7,P_times_omega_Band7
100000.0,0.9939777197755634,0.9841149164934733,0.9781883006933015,0.9896390161562829,0.9647193268916554,0.9547238855320094,0.9674402441328496,0.9519329784402215,0.9209382730603185,0.9976938498732667,0.9191632999956163,0.9170435714348428
119839.67935871746,0.9965944526443188,0.9799600577244141,0.9766227573411574,0.9938721948460401,0.9613887157070371,0.9554975129799685,0.9966810255316513,0.9547702620964118,0.9516014039733752,0.9936598967843195,0.9121074806632826,0.9063246250920831
139679.35871743486,0.996536198329206,0.9762974181380035,0.9729157175098653,0.9963220871479285,0.9617808596675127,0.9582435134828652,0.990766659610588,0.9523954649350742,0.9436016734219963,0.9921144040049354,0.908763982201389,0.9015978365828828
159519.03807615233,0.9956305322944018,0.9741731004213691,0.9699164825194154,0.9923430752502919,0.9614869809498767,0.9541249474889194,0.9933690395304933,0.9473518958666792,0.941070042894475,0.9868080551109977,0.9009109762836205,0.8890262083345897
179358.71743486973,0.9966100671820972,0.9731640911778401,0.9698651302879517,0.9939352450488257,0.9592439590978278,0.9534263795475052,0.9901224610576346,0.9436284804811124,0.9343077534180351,0.9761422492659569,0.8962936277874702,0.8749100778312056
199198.39679358716,0.9957789875243211,0.9722046910996901,0.9681010029696449,0.9943504185054558,0.9561237961215628,0.9507220968165011,0.9900667655327153,0.9412052627295333,0.9318560501729986,0.9643373227508747,0.8903807138444719,0.8586273538177908
219038.07615230462,0.9940302209457574,0.9707189945516627,0.9649240166304327,0.9908710454202815,0.9535949248776437,0.9448896001209857,0.9865050505196057,0.9379948043681334,0.9253366118703131,0.939735643128669,0.8847764554756873,0.8314559714115491
238877.75551102206,0.9947529457733024,0.9687812405228412,0.9636979928200105,0.9914062065371307,0.9518171812586584,0.9436374609885111,0.9824100932736594,0.9342398627896995,0.9178066707431994,0.9057579413354537,0.8800172273861194,0.7970825922169854
258717.4348697395,0.9944705676508739,0.9668250859287637,0.9614790920226827,0.9902535728372539,0.9499220059993237,0.9406636603575617,0.9755403461594037,0.931208989310598,0.9084319397788092,0.8707353819856775,0.8744415883550822,0.761407230460525
278557.1142284569,0.9932063881602226,0.9652034974314202,0.9586462795234755,0.986510538182406,0.9475035111131478,0.9347221986779507,0.9631229180177067,0.92854338249636,0.8943014120559258,0.812523049698842,0.8698766858256356,0.7067948576289669
