a_max_f_micron,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2
100.0,0.9999999898989941,0.021021738381511657,0.021021738169170953,0.9999999804026567,0.029110072082802148,0.02911007151232207,0.9999999408584309,0.05010890325008427,0.0501089002865651,0.9999996746142478,0.10691651443108231,0.10691647964197185
102.33520470972582,0.9999999893827448,0.02174278248111545,0.02174278225026678,0.9999999793947858,0.030089362879188956,0.030089362259191187,0.9999999377662276,0.051711757930838764,0.051711754712620996,0.9999996567005287,0.1098688700352511,0.10986883231732611
104.72494122981487,0.9999999888180126,0.022498474241324888,0.02249847398974723,0.9999999782918211,0.03111429116160609,0.031114290486171488,0.9999999343785936,0.05338345412859501,0.05338345062549767,0.9999996370065428,0.11291901109630194,0.11291897010743972
107.1704829896711,0.9999999882001042,0.023290567199459704,0.023290566924633438,0.9999999770844799,0.032187035402768426,0.032187034665185764,0.999999930666047,0.05512676362340559,0.055126759801249155,0.9999996153427485,0.11606868594591678,0.11606864129925507
109.6731331558818,0.9999999875238584,0.024120898024769813,0.024120897723834075,0.999999975762542,0.033309864182104194,0.03330986337475776,0.9999999265960221,0.05694452400497811,0.05694451982502353,0.9999995914978426,0.11931950498293777,0.11931945624066255
112.23422532664179,0.9999999867835999,0.024991389364111414,0.024991389033815214,0.9999999743147533,0.034485137800409675,0.034485136914650404,0.999999922132531,0.05883963442481197,0.05883962984311856,0.9999995652360634,0.12267292266248643,0.12267286932872365
114.85512424239381,0.9999999859730844,0.025904052635508074,0.025904052272154112,0.9999999727287147,0.03571530963428436,0.03571530866028196,0.9999999172357835,0.060815050521886946,0.06081504548857694,0.9999995362941348,0.12613021892591242,0.12613016043859013
117.53722651306363,0.9999999850854413,0.026860990744924956,0.026860990344305134,0.9999999709907638,0.03700292718581749,0.03700292611239084,0.9999999118617644,0.06287377845490721,0.06287377291332331,0.9999995043778033,0.12969248020908328,0.12969241593061134
120.28196136227776,0.9999999841131094,0.027864400698547197,0.02786440025586851,0.9999999690858413,0.038350632779143835,0.03835063159356629,0.9999999059617601,0.06501886797385535,0.06501886185959545,0.9999994691579046,0.13336058019282973,0.1333605093994199
123.09079138896026,0.9999999830477652,0.028916576079390927,0.02891657558919034,0.9999999669973405,0.039761163851221484,0.039761162538997336,0.9999998994818275,0.06725340446423617,0.06725339770404686,0.9999994302658983,0.1371351604870678,0.13713508235649033
125.96521334671402,0.9999999818802426,0.030019909353437423,0.03001990880948395,0.9999999647069454,0.04123735278008304,0.0412373513246909,0.9999998923622015,0.06958049989915761,0.0695804924096658,0.9999993872887942,0.14101661146889632,0.14101652506643828
128.90675894140264,0.9999999806004468,0.031176893966628552,0.03117689336181074,0.9999999621944443,0.042782126189475383,0.04278212457207333,0.9999998845366342,0.0720032826370424,0.07200327432330104,0.9999993397633768,0.14500505352459583,0.14500495778694897
131.91699564735717,0.9999999791972564,0.03239012618992593,0.032390125516122435,0.9999999594375305,0.04439850366470009,0.04439850186378714,0.999999875931631,0.0745248860094351,0.07452487676325405,0.9999992871696406,0.1491003189753292,0.14910021269209522
134.99752754264304,0.9999999776584159,0.033662306665331244,0.03366230591326199,0.9999999564115697,0.046089595810305486,0.04608959380133235,0.9999998664656281,0.0771484356440421,0.07714842534207421,0.9999992289233038,0.15330193499599445,0.1533018167884449
138.14999616383224,0.9999999759704158,0.03499624160119767,0.03499624076025254,0.9999999530893522,0.04785860157643406,0.047858599331356055,0.9999998560480441,0.07987703548326866,0.07987702398481317,0.9999991643672933,0.15760910786539795,0.15760897616207253
141.37608138073605,0.9999999741183608,0.03639484356050451,0.0363948426185463,0.999999949440808,0.049708804777058385,0.04970880226382138,0.9999998445782193,0.08271375246321874,0.08271373960770005,0.9999990927620254,0.1620207089125128,0.162020561921173
144.6775022915648,0.999999972085822,0.037861131780911425,0.03786113072404906,0.9999999454326954,0.051643569720177765,0.05164356690212737,0.9999998319442204,0.08566159983255359,0.08566158543662664,0.9999990132743337,0.16653526255098777,0.16653509822636986
148.05601813899108,0.9999999698546745,0.039398231960519274,0.03939823077284675,0.9999999410282474,0.053666335867464,0.05366633270266612,0.999999818021493,0.08872351910489328,0.08872350295911972,0.9999989249648387,0.17115093680847915,0.17115075281520417
151.5134292476053,0.9999999674049131,0.041009375438331636,0.04100937410162748,0.9999999361867828,0.055780611439012404,0.05578060787947213,0.999999802671344,0.09190236065573924,0.09190234252076994,0.9999988267735392,0.17586553678295574,0.17586533045285446
155.05157798326246,0.9999999647144524,0.04269789769357725,0.04269789618695855,0.9999999308632658,0.05798996587787292,0.05798996186863606,0.9999997857392233,0.09520086299493394,0.0952008425971231,0.9999987175033784,0.1806765014630496,0.18067626974604686
158.6723497348318,0.9999999617589014,0.044467236083310276,0.044467234382834314,0.9999999250078176,0.06029802108918565,0.06029801656730546,0.999999767052789,0.09862163076845577,0.09862160779482194,0.9999985958014936,0.1855809043567456,0.18558064376431688
162.37767391887218,0.999999958511312,0.04632092673329338,0.0463209248114989,0.9999999185651673,0.06270844137020057,0.06270843626354913,0.9999997464197093,0.10216711156904196,0.10216708566147611,0.9999984601378366,0.19057545836920822,0.1905751649092706
166.1695250077689,0.9999999549418994,0.04826260049311318,0.04826259831849207,0.9999999114740411,0.06522492195022032,0.06522491617612157,0.9999997236251846,0.10583957166367373,0.10583954241228166,0.9999983087807953,0.19565652535840777,0.19565619446033455
