a_max_divided_f_micron,P_Band 4,omega_Band 4,P_times_omega_Band 4,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band4_nterms2_robust_minus,omega_Band4_nterms2_robust_minus,P_times_omega_Band4_nterms2_robust_minus,P_Band4_nterms2_smooth,omega_Band4_nterms2_smooth,P_times_omega_Band4_nterms2_smooth,P_Band4_nterms2_smooth_B6,omega_Band4_nterms2_smooth_B6,P_times_omega_Band4_nterms2_smooth_B6,P_Band4_nterms2_smooth_B6_B7,omega_Band4_nterms2_smooth_B6_B7,P_times_omega_Band4_nterms2_smooth_B6_B7,P_Band5,omega_Band5,P_times_omega_Band5,P_Band5_robust_minus1,omega_Band5_robust_minus1,P_times_omega_Band5_robust_minus1,P_Band5_robust_minus2,omega_Band5_robust_minus2,P_times_omega_Band5_robust_minus2,P_Band6,omega_Band6,P_times_omega_Band6,P_Band6_smooth,omega_Band6_smooth,P_times_omega_Band6_smooth,P_Band6_smooth_B7,omega_Band6_smooth_B7,P_times_omega_Band6_smooth_B7,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2,P_Band7_nterms2_smooth,omega_Band7_nterms2_smooth,P_times_omega_Band7_nterms2_smooth,P_Band7_nterms2_smooth_B6,omega_Band7_nterms2_smooth_B6,P_times_omega_Band7_nterms2_smooth_B6
230.22044088176352,0.9902376350779218,0.8891431970151946,0.8804630566579491,0.9902376350779218,0.8891431970151946,0.8804630566579491,0.9902376350779218,0.8891431970151946,0.8804630566579491,0.9902376350779218,0.8891431970151946,0.8804630566579491,0.9902376350779218,0.8891431970151946,0.8804630566579491,0.9902376350779218,0.8891431970151946,0.8804630566579491,0.9762827287278588,0.9128931937938561,0.8912418582741559,0.9762827287278588,0.9128931937938561,0.8912418582741559,0.9762827287278588,0.9128931937938561,0.8912418582741559,0.8233454656378362,0.932320746539652,0.7676220591835048,0.8233454656378362,0.932320746539652,0.7676220591835048,0.8233454656378362,0.932320746539652,0.7676220591835048,0.06776896667375511,0.9378168238821483,0.06355487708375616,0.06776896667375511,0.9378168238821483,0.06355487708375616,0.06776896667375511,0.9378168238821483,0.06355487708375616
232.20440881763528,0.9898057123396649,0.891327752474525,0.8822413009661597,0.9898057123396649,0.891327752474525,0.8822413009661597,0.9898057123396649,0.891327752474525,0.8822413009661597,0.9898057123396649,0.891327752474525,0.8822413009661597,0.9898057123396649,0.891327752474525,0.8822413009661597,0.9898057123396649,0.891327752474525,0.8822413009661597,0.975037759219296,0.9144535451261603,0.8916267355499528,0.975037759219296,0.9144535451261603,0.8916267355499528,0.975037759219296,0.9144535451261603,0.8916267355499528,0.8085458070973592,0.9328317317220278,0.7542371854112143,0.8085458070973592,0.9328317317220278,0.7542371854112143,0.8085458070973592,0.9328317317220278,0.7542371854112143,0.06257464425364612,0.9378210689678778,0.05868381976423907,0.06257464425364612,0.9378210689678778,0.05868381976423907,0.06257464425364612,0.9378210689678778,0.05868381976423907
234.18837675350704,0.9893555449724314,0.8934478701598723,0.8839376044864785,0.9893555449724314,0.8934478701598723,0.8839376044864785,0.9893555449724314,0.8934478701598723,0.8839376044864785,0.9893555449724314,0.8934478701598723,0.8839376044864785,0.9893555449724314,0.8934478701598723,0.8839376044864785,0.9893555449724314,0.8934478701598723,0.8839376044864785,0.9737235174439389,0.9159606029102388,0.8918923801058287,0.9737235174439389,0.9159606029102388,0.8918923801058287,0.9737235174439389,0.9159606029102388,0.8918923801058287,0.7925116508975968,0.9333068280586228,0.7396565350987386,0.7925116508975968,0.9333068280586228,0.7396565350987386,0.7925116508975968,0.9333068280586228,0.7396565350987386,0.05735456114016072,0.9377574809232005,0.05378466877425281,0.05735456114016072,0.9377574809232005,0.05378466877425281,0.05735456114016072,0.9377574809232005,0.05378466877425281
236.17234468937875,0.9888862986668064,0.8955055651261165,0.8855531837330921,0.9888862986668064,0.8955055651261165,0.8855531837330921,0.9888862986668064,0.8955055651261165,0.8855531837330921,0.9888862986668064,0.8955055651261165,0.8855531837330921,0.9888862986668064,0.8955055651261165,0.8855531837330921,0.9888862986668064,0.8955055651261165,0.8855531837330921,0.9723355495339346,0.9174159885534366,0.8920361793813237,0.9723355495339346,0.9174159885534366,0.8920361793813237,0.9723355495339346,0.9174159885534366,0.8920361793813237,0.7751823900762409,0.9337494583044359,0.7238261368208279,0.7751823900762409,0.9337494583044359,0.7238261368208279,0.7751823900762409,0.9337494583044359,0.7238261368208279,0.05209070210115215,0.937619739436794,0.04884127053116194,0.05209070210115215,0.937619739436794,0.04884127053116194,0.05209070210115215,0.937619739436794,0.04884127053116194
238.1563126252505,0.9883970938255303,0.897502779914674,0.8870891393679983,0.9883970938255303,0.897502779914674,0.8870891393679983,0.9883970938255303,0.897502779914674,0.8870891393679983,0.9883970938255303,0.897502779914674,0.8870891393679983,0.9883970938255303,0.897502779914674,0.8870891393679983,0.9883970938255303,0.897502779914674,0.8870891393679983,0.9708690703143035,0.9188212542930504,0.8920551369405161,0.9708690703143035,0.9188212542930504,0.8920551369405161,0.9708690703143035,0.9188212542930504,0.8920551369405161,0.7565104254641563,0.9341634051193084,0.706704355059853,0.7565104254641563,0.9341634051193084,0.706704355059853,0.7565104254641563,0.9341634051193084,0.706704355059853,0.046764931357470535,0.9374011298059922,0.043837499489792556,0.046764931357470535,0.9374011298059922,0.043837499489792556,0.046764931357470535,0.9374011298059922,0.043837499489792556
240.14028056112227,0.9878870027172973,0.8994413869524641,0.8885464558763586,0.9878870027172973,0.8994413869524641,0.8885464558763586,0.9878870027172973,0.8994413869524641,0.8885464558763586,0.9878870027172973,0.8994413869524641,0.8885464558763586,0.9878870027172973,0.8994413869524641,0.8885464558763586,0.9878870027172973,0.8994413869524641,0.8885464558763586,0.9693189363791057,0.9201778859876795,0.8919458497251515,0.9693189363791057,0.9201778859876795,0.8919458497251515,0.9693189363791057,0.9201778859876795,0.8919458497251515,0.7364665932532604,0.9345528197409323,0.6882669313698327,0.7364665932532604,0.9345528197409323,0.6882669313698327,0.7364665932532604,0.9345528197409323,0.6882669313698327,0.04135741610082861,0.9370952405688383,0.03875583779031153,0.04135741610082861,0.9370952405688383,0.03875583779031153,0.04135741610082861,0.9370952405688383,0.03875583779031153
242.124248496994,0.9873550464345335,0.9013231908956358,0.8899260009992824,0.9873550464345335,0.9013231908956358,0.8899260009992824,0.9873550464345335,0.9013231908956358,0.8899260009992824,0.9873550464345335,0.9013231908956358,0.8899260009992824,0.9873550464345335,0.9013231908956358,0.8899260009992824,0.9873550464345335,0.9013231908956358,0.8899260009992824,0.9676796169393629,0.9214873058230558,0.8917044831133402,0.9676796169393629,0.9214873058230558,0.8917044831133402,0.9676796169393629,0.9214873058230558,0.8917044831133402,0.7150462474835928,0.9349222068636507,0.6685126157069327,0.7150462474835928,0.9349222068636507,0.6685126157069327,0.7150462474835928,0.9349222068636507,0.6685126157069327,0.035844752432011594,0.9366972710370531,0.03357568178406403,0.035844752432011594,0.9366972710370531,0.03357568178406403,0.035844752432011594,0.9366972710370531,0.03357568178406403
244.10821643286576,0.9868001916407768,0.9031499309158184,0.8912285249080839,0.9868001916407768,0.9031499309158184,0.8912285249080839,0.9868001916407768,0.9031499309158184,0.8912285249080839,0.9868001916407768,0.9031499309158184,0.8912285249080839,0.9868001916407768,0.9031499309158184,0.8912285249080839,0.9868001916407768,0.9031499309158184,0.8912285249080839,0.9659451622798916,0.9227508749397353,0.8913267436375746,0.9659451622798916,0.9227508749397353,0.8913267436375746,0.9659451622798916,0.9227508749397353,0.8913267436375746,0.6922756447333431,0.9352763779651765,0.6474690575597085,0.6922756447333431,0.9352763779651765,0.6474690575597085,0.6922756447333431,0.9352763779651765,0.6474690575597085,0.030198152252016514,0.9362061477739794,0.0282716957897525,0.030198152252016514,0.9362061477739794,0.0282716957897525,0.030198152252016514,0.9362061477739794,0.0282716957897525
246.09218436873746,0.9862213470922189,0.9049232829272225,0.8924546591035984,0.9862213470922189,0.9049232829272225,0.8924546591035984,0.9862213470922189,0.9049232829272225,0.8924546591035984,0.9862213470922189,0.9049232829272225,0.8924546591035984,0.9862213470922189,0.9049232829272225,0.8924546591035984,0.9862213470922189,0.9049232829272225,0.8924546591035984,0.9641091696582647,0.9239698959908703,0.8908078492129912,0.9641091696582647,0.9239698959908703,0.8908078492129912,0.9641091696582647,0.9239698959908703,0.8908078492129912,0.6682180582210543,0.9356203661356037,0.625198424291205,0.6682180582210543,0.9356203661356037,0.625198424291205,0.6682180582210543,0.9356203661356037,0.625198424291205,0.024382618237756292,0.9356273924275172,0.022813045522347544,0.024382618237756292,0.9356273924275172,0.022813045522347544,0.024382618237756292,0.9356273924275172,0.022813045522347544
248.07615230460922,0.9856173599167823,0.9066448617534225,0.8936049150235245,0.9856173599167823,0.9066448617534225,0.8936049150235245,0.9856173599167823,0.9066448617534225,0.8936049150235245,0.9856173599167823,0.9066448617534225,0.8936049150235245,0.9856173599167823,0.9066448617534225,0.8936049150235245,0.9856173599167823,0.9066448617534225,0.8936049150235245,0.9621647464777435,0.9251456156392086,0.8901424967264951,0.9621647464777435,0.9251456156392086,0.8901424967264951,0.9621647464777435,0.9251456156392086,0.8901424967264951,0.6429788229100147,0.9359592981084122,0.6018020077894304,0.6429788229100147,0.9359592981084122,0.6018020077894304,0.6429788229100147,0.9359592981084122,0.6018020077894304,0.018358681687680883,0.9349760204813529,0.01716492714563176,0.018358681687680883,0.9349760204813529,0.01716492714563176,0.018358681687680883,0.9349760204813529,0.01716492714563176
