a_max_f_micron,P_Band 4,omega_Band 4,P_times_omega_Band 4,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band4_nterms2_robust_minus,omega_Band4_nterms2_robust_minus,P_times_omega_Band4_nterms2_robust_minus,P_Band4_nterms2_smooth,omega_Band4_nterms2_smooth,P_times_omega_Band4_nterms2_smooth,P_Band4_nterms2_smooth_B6,omega_Band4_nterms2_smooth_B6,P_times_omega_Band4_nterms2_smooth_B6,P_Band4_nterms2_smooth_B6_B7,omega_Band4_nterms2_smooth_B6_B7,P_times_omega_Band4_nterms2_smooth_B6_B7,P_Band5,omega_Band5,P_times_omega_Band5,P_Band5_robust_minus1,omega_Band5_robust_minus1,P_times_omega_Band5_robust_minus1,P_Band5_robust_minus2,omega_Band5_robust_minus2,P_times_omega_Band5_robust_minus2,P_Band6,omega_Band6,P_times_omega_Band6,P_Band6_smooth,omega_Band6_smooth,P_times_omega_Band6_smooth,P_Band6_smooth_B7,omega_Band6_smooth_B7,P_times_omega_Band6_smooth_B7,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2,P_Band7_nterms2_smooth,omega_Band7_nterms2_smooth,P_times_omega_Band7_nterms2_smooth,P_Band7_nterms2_smooth_B6,omega_Band7_nterms2_smooth_B6,P_times_omega_Band7_nterms2_smooth_B6
10.0,0.9999999852333211,0.001671408835996491,0.0016714088113153336,0.9999999852333211,0.001671408835996491,0.0016714088113153336,0.9999999852333211,0.001671408835996491,0.0016714088113153336,0.9999999852333211,0.001671408835996491,0.0016714088113153336,0.9999999852333211,0.001671408835996491,0.0016714088113153336,0.9999999852333211,0.001671408835996491,0.0016714088113153336,0.9999999716756393,0.002366957066687671,0.002366956999645125,0.9999999716756393,0.002366957066687671,0.002366956999645125,0.9999999716756393,0.002366957066687671,0.002366956999645125,0.9999999171420096,0.004315850309355784,0.0043158499517531,0.9999999171420096,0.004315850309355784,0.0043158499517531,0.9999999171420096,0.004315850309355784,0.0043158499517531,0.9999995866229835,0.010858903216825136,0.010858898728004121,0.9999995866229835,0.010858903216825136,0.010858898728004121,0.9999995866229835,0.010858903216825136,0.010858898728004121
30.01001001001001,0.9999988251818538,0.028406340379864718,0.028406307007580574,0.9999988251818538,0.028406340379864718,0.028406307007580574,0.9999988251818538,0.028406340379864718,0.028406307007580574,0.9999988251818538,0.028406340379864718,0.028406307007580574,0.9999988251818538,0.028406340379864718,0.028406307007580574,0.9999988251818538,0.028406340379864718,0.028406307007580574,0.9999977451310877,0.039751908739008246,0.03975181910366503,0.9999977451310877,0.039751908739008246,0.03975181910366503,0.9999977451310877,0.039751908739008246,0.03975181910366503,0.9999933928073004,0.07017211159921735,0.07017164795855388,0.9999933928073004,0.07017211159921735,0.07017164795855388,0.9999933928073004,0.07017211159921735,0.07017164795855388,0.9999668592089598,0.15960306181192138,0.15959777244020049,0.9999668592089598,0.15960306181192138,0.15959777244020049,0.9999668592089598,0.15960306181192138,0.15959777244020049
50.02002002002002,0.9999918907765994,0.09893258790382986,0.09893178563737295,0.9999918907765994,0.09893258790382986,0.09893178563737295,0.9999918907765994,0.09893258790382986,0.09893178563737295,0.9999918907765994,0.09893258790382986,0.09893178563737295,0.9999918907765994,0.09893258790382986,0.09893178563737295,0.9999918907765994,0.09893258790382986,0.09893178563737295,0.9999844113089174,0.1343884537800066,0.13438635883991557,0.9999844113089174,0.1343884537800066,0.13438635883991557,0.9999844113089174,0.1343884537800066,0.13438635883991557,0.9999541238815364,0.21999495967350718,0.2199848671586758,0.9999541238815364,0.21999495967350718,0.2199848671586758,0.9999541238815364,0.21999495967350718,0.2199848671586758,0.9997662491722743,0.4125581585882563,0.4124617227772013,0.9997662491722743,0.4125581585882563,0.4124617227772013,0.9997662491722743,0.4125581585882563,0.4124617227772013
70.03003003003003,0.9999714410080218,0.21196963182560058,0.21196357818658565,0.9999714410080218,0.21196963182560058,0.21196357818658565,0.9999714410080218,0.21196963182560058,0.21196357818658565,0.9999714410080218,0.21196963182560058,0.21196357818658565,0.9999714410080218,0.21196963182560058,0.21196357818658565,0.9999714410080218,0.21196963182560058,0.21196357818658565,0.9999449534707295,0.27516400628024834,0.27514885945672246,0.9999449534707295,0.27516400628024834,0.27514885945672246,0.9999449534707295,0.27516400628024834,0.27514885945672246,0.9998367294721684,0.40695040855834697,0.40688396555034034,0.9998367294721684,0.40695040855834697,0.40688396555034034,0.9998367294721684,0.40695040855834697,0.40688396555034034,0.9991408624934854,0.6270677047488008,0.6265289673645271,0.9991408624934854,0.6270677047488008,0.6265289673645271,0.9991408624934854,0.6270677047488008,0.6265289673645271
90.04004004004005,0.999926350166931,0.3469718595029296,0.3469463050833975,0.999926350166931,0.3469718595029296,0.3469463050833975,0.999926350166931,0.3469718595029296,0.3469463050833975,0.999926350166931,0.3469718595029296,0.3469463050833975,0.999926350166931,0.3469718595029296,0.3469463050833975,0.999926350166931,0.3469718595029296,0.3469463050833975,0.999857459598112,0.42790638120391894,0.4278453872563717,0.999857459598112,0.42790638120391894,0.4278453872563717,0.999857459598112,0.42790638120391894,0.4278453872563717,0.9995717737415399,0.573176289376547,0.5729308402387092,0.9995717737415399,0.573176289376547,0.5729308402387092,0.9995717737415399,0.573176289376547,0.5729308402387092,0.9976099431191251,0.7626390501012715,0.760816299391953,0.9976099431191251,0.7626390501012715,0.760816299391953,0.9976099431191251,0.7626390501012715,0.760816299391953
110.05005005005005,0.9998416405220613,0.47911051396011517,0.47903464226924947,0.9998416405220613,0.47911051396011517,0.47903464226924947,0.9998416405220613,0.47911051396011517,0.47903464226924947,0.9998416405220613,0.47911051396011517,0.47903464226924947,0.9998416405220613,0.47911051396011517,0.47903464226924947,0.9998416405220613,0.47911051396011517,0.47903464226924947,0.9996916615318701,0.5634438046372302,0.563270073237631,0.9996916615318701,0.5634438046372302,0.563270073237631,0.9996916615318701,0.5634438046372302,0.563270073237631,0.9990550656540577,0.696658313553038,0.6960000171851755,0.9990550656540577,0.696658313553038,0.6960000171851755,0.9990550656540577,0.696658313553038,0.6960000171851755,0.9941689833214722,0.8412798944608975,0.8363743773649859,0.9941689833214722,0.8412798944608975,0.8363743773649859,0.9941689833214722,0.8412798944608975,0.8363743773649859
130.06006006006007,0.9996977262019104,0.5927297784721779,0.5925506117907984,0.9996977262019104,0.5927297784721779,0.5925506117907984,0.9996977262019104,0.5927297784721779,0.5925506117907984,0.9996977262019104,0.5927297784721779,0.5925506117907984,0.9996977262019104,0.5927297784721779,0.5925506117907984,0.9996977262019104,0.5927297784721779,0.5925506117907984,0.9994063641600064,0.670400300584571,0.6700023269390015,0.9994063641600064,0.670400300584571,0.6700023269390015,0.9994063641600064,0.670400300584571,0.6700023269390015,0.9981257106576259,0.7815112420375084,0.7800464638456119,0.9981257106576259,0.7815112420375084,0.7800464638456119,0.9981257106576259,0.7815112420375084,0.7800464638456119,0.9864168577992204,0.8865603828638893,0.8745181071138715,0.9864168577992204,0.8865603828638893,0.8745181071138715,0.9864168577992204,0.8865603828638893,0.8745181071138715
150.0700700700701,0.999469168468907,0.6831978383092341,0.682835175354685,0.999469168468907,0.6831978383092341,0.682835175354685,0.999469168468907,0.6831978383092341,0.682835175354685,0.999469168468907,0.6831978383092341,0.682835175354685,0.999469168468907,0.6831978383092341,0.682835175354685,0.999469168468907,0.6831978383092341,0.682835175354685,0.9989449290988609,0.7499294861386158,0.7491382573598847,0.9989449290988609,0.7499294861386158,0.7491382573598847,0.9989449290988609,0.7499294861386158,0.7491382573598847,0.9965214386615932,0.8384926409528419,0.8355758928694847,0.9965214386615932,0.8384926409528419,0.8355758928694847,0.9965214386615932,0.8384926409528419,0.8355758928694847,0.9679784472354926,0.9127888644051528,0.8835599476207485,0.9679784472354926,0.9127888644051528,0.8835599476207485,0.9679784472354926,0.9127888644051528,0.8835599476207485
170.08008008008008,0.9991226697233626,0.7523908302120552,0.7517307349568458,0.9991226697233626,0.7523908302120552,0.7517307349568458,0.9991226697233626,0.7523908302120552,0.7517307349568458,0.9991226697233626,0.7523908302120552,0.7517307349568458,0.9991226697233626,0.7523908302120552,0.7517307349568458,0.9991226697233626,0.7523908302120552,0.7517307349568458,0.9982274739568329,0.8076611579195451,0.8062295574830781,0.9982274739568329,0.8076611579195451,0.8062295574830781,0.9982274739568329,0.8076611579195451,0.8062295574830781,0.993787623204557,0.8768236078587615,0.8713764492236031,0.993787623204557,0.8768236078587615,0.8713764492236031,0.993787623204557,0.8768236078587615,0.8713764492236031,0.9213196509994138,0.9279827029870441,0.8549687000495162,0.9213196509994138,0.9279827029870441,0.8549687000495162,0.9213196509994138,0.9279827029870441,0.8549687000495162
190.0900900900901,0.9986138809660743,0.8044168744978702,0.8033018569569177,0.9986138809660743,0.8044168744978702,0.8033018569569177,0.9986138809660743,0.8044168744978702,0.8033018569569177,0.9986138809660743,0.8044168744978702,0.8033018569569177,0.9986138809660743,0.8044168744978702,0.8033018569569177,0.9986138809660743,0.8044168744978702,0.8033018569569177,0.9971374741051783,0.8493817332457971,0.8469503560397925,0.9971374741051783,0.8493817332457971,0.8469503560397925,0.9971374741051783,0.8493817332457971,0.8469503560397925,0.9890901450359696,0.9028638053767611,0.8930136922078281,0.9890901450359696,0.9028638053767611,0.8930136922078281,0.9890901450359696,0.9028638053767611,0.8930136922078281,0.8058013910779701,0.9372371833257995,0.7552270260939278,0.8058013910779701,0.9372371833257995,0.7552270260939278,0.8058013910779701,0.9372371833257995,0.7552270260939278
