POLF_major,POLF_offset_major,POLF_minor,POLF_offset_minor
0.072645485,-0.6989935622021136,0.0,-0.6989935622021136
0.09613221,-0.6739792281665661,0.0,-0.6739792281665661
0.09613221,-0.6739792281665661,0.0,-0.6739792281665661
0.084806636,-0.6489992295835182,0.0,-0.6489992295835182
0.07155805,-0.6341009383371073,7.97769e-08,-0.6341009383371073
0.03697295,-0.6090812753647908,0.25256762,-0.6090812753647908
0.016496237,-0.5840993066251663,0.21890497,-0.5840993066251663
0.026757574,-0.5692099788303083,0.18291353,-0.5692099788303083
0.02921438,-0.5441837924819152,0.16301928,-0.5441837924819152
0.02921438,-0.5441837924819152,0.16301928,-0.5441837924819152
0.02781791,-0.5191993836668145,0.13011786,-0.5191993836668145
0.024553504,-0.4942630878388554,0.08901675,-0.4942630878388554
0.023526112,-0.47928697040499657,0.08864014,-0.47928697040499657
0.020770174,-0.4542994607084627,0.061270595,-0.4542994607084627
0.020234136,-0.4394360021664133,0.05337402,-0.4394360021664133
0.017798685,-0.4143911195959682,0.04858852,-0.4143911195959682
0.017798685,-0.4143911195959682,0.04858852,-0.4143911195959682
0.015916295,-0.38939953775011094,0.045635466,-0.38939953775011094
0.01472764,-0.3644722211636986,0.040934425,-0.3644722211636986
0.015120279,-0.3494967811010568,0.038486045,-0.3494967811010568
0.013769658,-0.3244996147917591,0.03473936,-0.3244996147917591
0.0131270755,-0.3096837096135346,0.033587202,-0.3096837096135346
0.012008573,-0.2995797055876783,0.031080278,-0.2995797055876783
0.011003268,-0.28460498941515416,0.029678404,-0.28460498941515416
0.009467115,-0.25959969183340725,0.02589512,-0.25959969183340725
0.008995328,-0.2346912865872954,0.022532241,-0.2346912865872954
0.009003495,-0.21971800108320666,0.020731533,-0.21971800108320666
0.009831482,-0.19469976887505547,0.017290702,-0.19469976887505547
0.010116635,-0.18000000000000002,0.015325307,-0.18000000000000002
0.010629873,-0.16981166037701886,0.013158713,-0.16981166037701886
0.010629441,-0.1548418548067673,0.0110288765,-0.1548418548067673
0.0108991135,-0.12979984591670363,0.0064054444,-0.12979984591670363
0.011500452,-0.10495713410721542,0.002969971,-0.10495713410721542
0.011288194,-0.09000000000000001,0.0033242581,-0.09000000000000001
0.013058822,-0.06489992295835181,0.006224537,-0.06489992295835181
0.013058822,-0.06489992295835181,0.006224537,-0.06489992295835181
0.014642594,-0.04024922359499622,0.009686772,-0.04024922359499622
0.014058751,-0.025455844122715714,0.01092309,-0.025455844122715714
0.013793662,-0.0,0.013793662,-0.0
0.012202723,0.025455844122715714,0.01581953,0.025455844122715714
0.009714444,0.04024922359499622,0.015904663,0.04024922359499622
0.0071722087,0.06489992295835181,0.015922816,0.06489992295835181
0.0071722087,0.06489992295835181,0.015922816,0.06489992295835181
0.00504624,0.09000000000000001,0.013955913,0.09000000000000001
0.0047277487,0.10495713410721542,0.011743087,0.10495713410721542
0.006380234,0.12979984591670363,0.006883327,0.12979984591670363
0.009279673,0.1548418548067673,0.0019979132,0.1548418548067673
0.011468849,0.16981166037701886,0.0050496925,0.16981166037701886
0.012111552,0.18000000000000002,0.007451798,0.18000000000000002
0.013902221,0.19469976887505547,0.012124008,0.19469976887505547
0.015277764,0.21971800108320666,0.019352356,0.21971800108320666
0.016084634,0.2346912865872954,0.02389682,0.2346912865872954
0.016543364,0.25959969183340725,0.03032599,0.25959969183340725
0.01712032,0.28460498941515416,0.035829924,0.28460498941515416
0.01802252,0.2995797055876783,0.038894963,0.2995797055876783
0.017996322,0.3096837096135346,0.039373625,0.3096837096135346
0.018934146,0.3244996147917591,0.04184175,0.3244996147917591
0.019024303,0.3494967811010568,0.041266818,0.3494967811010568
0.018904192,0.3644722211636986,0.044373956,0.3644722211636986
0.01628337,0.38939953775011094,0.03929435,0.38939953775011094
0.012135169,0.4143911195959682,0.02741492,0.4143911195959682
0.012135169,0.4143911195959682,0.02741492,0.4143911195959682
0.007550473,0.4394360021664133,4.490215e-11,0.4394360021664133
0.0067744176,0.4542994607084627,0.0,0.4542994607084627
0.011700344,0.47928697040499657,1.077974e-09,0.47928697040499657
0.018454699,0.4942630878388554,0.0,0.4942630878388554
0.030341923,0.5191993836668145,9.940745e-11,0.5191993836668145
0.041255318,0.5441837924819152,0.0,0.5441837924819152
0.041255318,0.5441837924819152,0.0,0.5441837924819152
0.044892106,0.5692099788303083,0.0,0.5692099788303083
0.041530415,0.5840993066251663,0.0,0.5840993066251663
0.0,0.6090812753647908,0.0,0.6090812753647908
0.0,0.6341009383371073,4.414921e-09,0.6341009383371073
0.0,0.6489992295835182,0.0,0.6489992295835182
0.0,0.6739792281665661,0.0,0.6739792281665661
0.0,0.6739792281665661,0.0,0.6739792281665661
6.646762e-10,0.6989935622021136,1.20327694e-08,0.6989935622021136
