a_max_micron,P_Band 4,omega_Band 4,P_times_omega_Band 4,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band4_nterms2_robust_minus,omega_Band4_nterms2_robust_minus,P_times_omega_Band4_nterms2_robust_minus,P_Band4_nterms2_smooth,omega_Band4_nterms2_smooth,P_times_omega_Band4_nterms2_smooth,P_Band4_nterms2_smooth_B6,omega_Band4_nterms2_smooth_B6,P_times_omega_Band4_nterms2_smooth_B6,P_Band4_nterms2_smooth_B6_B7,omega_Band4_nterms2_smooth_B6_B7,P_times_omega_Band4_nterms2_smooth_B6_B7,P_Band5,omega_Band5,P_times_omega_Band5,P_Band5_robust_minus1,omega_Band5_robust_minus1,P_times_omega_Band5_robust_minus1,P_Band5_robust_minus2,omega_Band5_robust_minus2,P_times_omega_Band5_robust_minus2,P_Band6,omega_Band6,P_times_omega_Band6,P_Band6_smooth,omega_Band6_smooth,P_times_omega_Band6_smooth,P_Band6_smooth_B7,omega_Band6_smooth_B7,P_times_omega_Band6_smooth_B7,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2,P_Band7_nterms2_smooth,omega_Band7_nterms2_smooth,P_times_omega_Band7_nterms2_smooth,P_Band7_nterms2_smooth_B6,omega_Band7_nterms2_smooth_B6,P_times_omega_Band7_nterms2_smooth_B6
60.0,0.9999989719407625,0.10617480856428946,0.10617469941029672,0.9999989719407625,0.10617480856428946,0.10617469941029672,0.9999989719407625,0.10617480856428946,0.10617469941029672,0.9999989719407625,0.10617480856428946,0.10617469941029672,0.9999989719407625,0.10617480856428946,0.10617469941029672,0.9999989719407625,0.10617480856428946,0.10617469941029672,0.9999980226589291,0.14339335447981572,0.1433930709422466,0.9999980226589291,0.14339335447981572,0.1433930709422466,0.9999980226589291,0.14339335447981572,0.1433930709422466,0.9999941675198688,0.2316568509452425,0.2316554998112621,0.9999941675198688,0.2316568509452425,0.2316554998112621,0.9999941675198688,0.2316568509452425,0.2316554998112621,0.9999700921240248,0.4228044915421646,0.42279184635786976,0.9999700921240248,0.4228044915421646,0.42279184635786976,0.9999700921240248,0.4228044915421646,0.42279184635786976
65.89178356713427,0.99999869900702,0.12147817644970572,0.12147801840745094,0.99999869900702,0.12147817644970572,0.12147801840745094,0.99999869900702,0.12147817644970572,0.12147801840745094,0.99999869900702,0.12147817644970572,0.12147801840745094,0.99999869900702,0.12147817644970572,0.12147801840745094,0.99999869900702,0.12147817644970572,0.12147801840745094,0.9999974966225527,0.16299488606643014,0.16299447802870834,0.9999974966225527,0.16299488606643014,0.16299447802870834,0.9999974966225527,0.16299488606643014,0.16299447802870834,0.9999926070263064,0.25935405280420204,0.25935213540651236,0.9999926070263064,0.25935405280420204,0.25935213540651236,0.9999926070263064,0.25935405280420204,0.25935213540651236,0.9999619264632712,0.4585120436754701,0.45849458650033464,0.9999619264632712,0.4585120436754701,0.45849458650033464,0.9999619264632712,0.4585120436754701,0.45849458650033464
71.78356713426854,0.9999983420764011,0.1383292952402393,0.1383290659008363,0.9999983420764011,0.1383292952402393,0.1383290659008363,0.9999983420764011,0.1383292952402393,0.1383290659008363,0.9999983420764011,0.1383292952402393,0.1383290659008363,0.9999983420764011,0.1383292952402393,0.1383290659008363,0.9999983420764011,0.1383292952402393,0.1383290659008363,0.9999968081803207,0.1842897457034455,0.18428915748380847,0.9999968081803207,0.1842897457034455,0.18428915748380847,0.9999968081803207,0.1842897457034455,0.18428915748380847,0.9999905603967629,0.28852384197589565,0.288521118425303,0.9999905603967629,0.28852384197589565,0.288521118425303,0.9999905603967629,0.28852384197589565,0.288521118425303,0.9999511311339824,0.49380110267716326,0.4937769711772372,0.9999511311339824,0.49380110267716326,0.4937769711772372,0.9999511311339824,0.49380110267716326,0.4937769711772372
77.6753507014028,0.9999978857038822,0.1566555596063355,0.156655228390094,0.9999978857038822,0.1566555596063355,0.156655228390094,0.9999978857038822,0.1566555596063355,0.156655228390094,0.9999978857038822,0.1566555596063355,0.156655228390094,0.9999978857038822,0.1566555596063355,0.156655228390094,0.9999978857038822,0.1566555596063355,0.156655228390094,0.9999959271651586,0.2071132087062597,0.20711236516836717,0.9999959271651586,0.2071132087062597,0.20711236516836717,0.9999959271651586,0.2071132087062597,0.20711236516836717,0.99998793468966,0.31877736825254405,0.3187735221046667,0.99998793468966,0.31877736825254405,0.3187735221046667,0.99998793468966,0.31877736825254405,0.3187735221046667,0.9999371488662796,0.5281281029977487,0.5280949095477256,0.9999371488662796,0.5281281029977487,0.5280949095477256,0.9999371488662796,0.5281281029977487,0.5280949095477256
83.56713426853709,0.9999973130918166,0.176355396986412,0.17635492313565265,0.9999973130918166,0.176355396986412,0.17635492313565265,0.9999973130918166,0.176355396986412,0.17635492313565265,0.9999973130918166,0.176355396986412,0.17635492313565265,0.9999973130918166,0.176355396986412,0.17635492313565265,0.9999973130918166,0.176355396986412,0.17635492313565265,0.9999948206406027,0.23126756523706837,0.2312663674192311,0.9999948206406027,0.23126756523706837,0.2312663674192311,0.9999948206406027,0.23126756523706837,0.2312663674192311,0.999984627282024,0.3497167224099373,0.3497113463133922,0.999984627282024,0.3497167224099373,0.3497113463133922,0.999984627282024,0.3497167224099373,0.3497113463133922,0.9999193391049159,0.5610661613271568,0.5610209052283828,0.9999193391049159,0.5610661613271568,0.5610209052283828,0.9999193391049159,0.5610661613271568,0.5610209052283828
89.45891783567134,0.9999966060407119,0.19730154159753835,0.1973008719641387,0.9999966060407119,0.19730154159753835,0.1973008719641387,0.9999966060407119,0.19730154159753835,0.1973008719641387,0.9999966060407119,0.19730154159753835,0.1973008719641387,0.9999966060407119,0.19730154159753835,0.1973008719641387,0.9999966060407119,0.19730154159753835,0.1973008719641387,0.999993452766084,0.25653025129995866,0.25652857173639687,0.999993452766084,0.25653025129995866,0.25652857173639687,0.999993452766084,0.25653025129995866,0.25652857173639687,0.9999805250791685,0.38095391089904196,0.38094649185178675,0.9999805250791685,0.38095391089904196,0.38094649185178675,0.9999805250791685,0.38095391089904196,0.38094649185178675,0.999896963887959,0.5923059211728966,0.5922448922736401,0.999896963887959,0.5923059211728966,0.5922448922736401,0.999896963887959,0.5923059211728966,0.5922448922736401
95.35070140280561,0.9999957448971915,0.21934529767085195,0.2193443643340598,0.9999957448971915,0.21934529767085195,0.2193443643340598,0.9999957448971915,0.21934529767085195,0.2193443643340598,0.9999957448971915,0.21934529767085195,0.2193443643340598,0.9999957448971915,0.21934529767085195,0.2193443643340598,0.9999957448971915,0.21934529767085195,0.2193443643340598,0.9999917846501823,0.2826627654240481,0.28266044325054973,0.9999917846501823,0.2826627654240481,0.28266044325054973,0.9999917846501823,0.2826627654240481,0.28266044325054973,0.9999755036152397,0.41212674221612217,0.4121166466008748,0.9999755036152397,0.41212674221612217,0.4121166466008748,0.9999755036152397,0.41212674221612217,0.4121166466008748,0.9998691708707754,0.621646447375478,0.6215651179120824,0.9998691708707754,0.621646447375478,0.6215651179120824,0.9998691708707754,0.621646447375478,0.6215651179120824
101.24248496993988,0.9999947084987975,0.2423215178563477,0.24232023561174457,0.9999947084987975,0.2423215178563477,0.24232023561174457,0.9999947084987975,0.2423215178563477,0.24232023561174457,0.9999947084987975,0.2423215178563477,0.24232023561174457,0.9999947084987975,0.2423215178563477,0.24232023561174457,0.9999947084987975,0.2423215178563477,0.24232023561174457,0.999989774190298,0.3094197110084121,0.30941654694132925,0.999989774190298,0.3094197110084121,0.30941654694132925,0.999989774190298,0.3094197110084121,0.30941654694132925,0.9999694260293184,0.4429107425504051,0.44289720101034774,0.9999694260293184,0.4429107425504051,0.44289720101034774,0.9999694260293184,0.4429107425504051,0.44289720101034774,0.9998349729968716,0.6489801599424633,0.6488730606915782,0.9998349729968716,0.6489801599424633,0.6488730606915782,0.9998349729968716,0.6489801599424633,0.6488730606915782
107.13426853707415,0.9999934741148494,0.26605398486032067,0.2660522486225716,0.9999934741148494,0.26605398486032067,0.2660522486225716,0.9999934741148494,0.26605398486032067,0.2660522486225716,0.9999934741148494,0.26605398486032067,0.2660522486225716,0.9999934741148494,0.26605398486032067,0.2660522486225716,0.9999934741148494,0.26605398486032067,0.2660522486225716,0.9999873758963377,0.3365573570812399,0.3365531083462758,0.9999873758963377,0.3365573570812399,0.3365531083462758,0.9999873758963377,0.3365573570812399,0.3365531083462758,0.9999621418982269,0.4730268279368879,0.4730089200390944,0.9999621418982269,0.4730268279368879,0.4730089200390944,0.9999621418982269,0.4730268279368879,0.4730089200390944,0.999793224226494,0.6742752396148937,0.6741358158306663,0.999793224226494,0.6742752396148937,0.6741358158306663,0.999793224226494,0.6742752396148937,0.6741358158306663
113.02605210420843,0.9999920173824449,0.2903608761815188,0.2903585583416913,0.9999920173824449,0.2903608761815188,0.2903585583416913,0.9999920173824449,0.2903608761815188,0.2903585583416913,0.9999920173824449,0.2903608761815188,0.2903585583416913,0.9999920173824449,0.2903608761815188,0.2903585583416913,0.9999920173824449,0.2903608761815188,0.2903585583416913,0.9999845406956557,0.36384122166575955,0.3638355969335808,0.9999845406956557,0.36384122166575955,0.3638355969335808,0.9999845406956557,0.36384122166575955,0.3638355969335808,0.999953485905001,0.5022449691624514,0.502221607692243,0.999953485905001,0.5022449691624514,0.502221607692243,0.999953485905001,0.5022449691624514,0.502221607692243,0.9997425906568648,0.6975580289593439,0.6973784710053108,0.9997425906568648,0.6975580289593439,0.6973784710053108,0.9997425906568648,0.6975580289593439,0.6973784710053108
