Xdata,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2
37481.20240480962,0.8424265498971177,0.9853749777336851,0.8301060428471375,0.8146131307127911,0.9850546886735806,0.8024384838636992,0.7619824081355797,0.9841665366919874,0.7499175876350139,0.6726173142397116,0.9800128560507194,0.659173615157224
37681.58316633266,0.8414647429384027,0.9854342898690642,0.8292082114073596,0.8135982993004096,0.9851060619474074,0.8014806166309346,0.7612958523878374,0.9841986508809931,0.7492663508414052,0.6715580855100559,0.9799854327211042,0.6581171410259284
37881.96392785571,0.8406661608622145,0.9854927936384339,0.8284704433854008,0.8128031684565066,0.9851566551707068,0.8007384507487646,0.7608790118624206,0.9842299929659647,0.7488799444933004,0.6699293519349957,0.9799570432085047,0.6565019868808082
38082.344689378755,0.8400272462823083,0.9855504998571715,0.8278892724671723,0.8122153658775098,0.9852064796106768,0.8001998413018792,0.7606625814285436,0.9842605760171693,0.7486901905515653,0.6677839283545255,0.979927687973732,0.6543799609784664
38282.7254509018,0.8395382622283853,0.9856074193335684,0.8274551400667075,0.8118116843900118,0.9852555467270877,0.7998419649431191,0.7605616353654295,0.9842904125495805,0.7486135258432223,0.66527190341588,0.9798973625032402,0.6518981835047313
38483.10621242484,0.8391839001037542,0.9856635631151038,0.8271529930850957,0.8115599759935831,0.9853038683629639,0.7996331837550316,0.7604838166876233,0.9843195138969978,0.748559060768495,0.6626118829138761,0.9798660670408925,0.6492708996853801
38683.48697394789,0.8389441110330359,0.9857189426731934,0.8269631020893863,0.8114214305493099,0.9853514567859016,0.7995352886590629,0.7603374505078468,0.9843478899530573,0.7484365650596863,0.6600513754541867,0.979833811500671,0.6467406549975362
38883.867735470936,0.8387950857650864,0.9857735700035204,0.8268620261960583,0.8113529978056917,0.9853983245679856,0.7995058846709411,0.7600389286738324,0.9843755493307911,0.7481637379260897,0.6578217213524276,0.9798006122723295,0.6445341253471463
39084.24849699398,0.8387103094662444,0.9858274576300785,0.826823652069244,0.81130975212905,0.9854444843275127,0.7995007203166938,0.7595189773621615,0.9844024998375397,0.7476723799893634,0.6560939425642236,0.9797664842070283,0.6428188554156773
39284.62925851704,0.8386616274800922,0.985880618513755,0.8268202440238257,0.8112470606660878,0.9854899483859386,0.7994758239440672,0.7587276108327048,0.9844287490532413,0.7469132728041941,0.6549434420180962,0.9797314347990156,0.6416686781605953
39485.01002004008,0.8386202730641988,0.9859330658788675,0.8268234569303586,0.8111224811689199,0.9855347284122817,0.7993893741879076,0.7576376635304933,0.9844543047774607,0.7458596593241315,0.6543318932158089,0.9796954653965773,0.6410459886478853
39685.390781563125,0.8385578246689667,0.9859848129817821,0.8268052799306411,0.8108973720029623,0.9855788351308238,0.7992032873093259,0.7562467955068457,0.984479175180143,0.7445092214732058,0.6541125532853184,0.9796585781632009,0.6408069739101959
39885.77154308617,0.8384470755183178,0.9860358728530706,0.8267388939498088,0.8105382359498163,0.9856222781556081,0.7988845426490858,0.7545778298112508,0.9845033686244318,0.7428844153384896,0.6540602517865627,0.9796207826437335,0.64073101575131
40086.15230460922,0.8382628101314271,0.9860862580476226,0.8265994377029837,0.8100178383616625,0.9856650659896621,0.7984062861015515,0.7526772642397312,0.9845268932743866,0.7410310086002072,0.653920189411352,0.9795820960605034,0.6405685097998536
40286.53306613226,0.8379824901223383,0.986135980435274,0.8263646844843843,0.8093161400069253,0.9857072061935789,0.7977487512935977,0.7506118552670739,0.9845497566979436,0.7390147194777896,0.6534628608429842,0.9795425366100332,0.6400946682905859
40486.91382765531,0.8375868551478816,0.9861850510582212,0.8260156355097085,0.8084210690631738,0.9857487056941755,0.7969000224849252,0.7484633239433455,0.9845719656842589,0.7369160060974739,0.6525299552434707,0.9795021149372656,0.6391544712208987
40687.29458917835,0.8370604448148005,0.9862334800716797,0.8255370355200489,0.8073291300665534,0.9857895711764212,0.7958566369265409,0.7463214682086455,0.9845935264074999,0.7348232862171731,0.6510605042129166,0.9794608307494094,0.6376882623245127
40887.6753507014,0.8363920445214023,0.9862812767723823,0.8249178135528319,0.8060458159412174,0.9858298094861788,0.7946239931664619,0.7442762310968705,0.9846144449190944,0.7328251281479208,0.6490951467110608,0.9794186776427557,0.6357359102560777
41088.05611222445,0.835575053416967,0.986328449707392,0.8241514470509284,0.8045857588639372,0.9858694279703366,0.793216501844269,0.7424094961458438,0.9846347277980235,0.7310021721522307,0.6467630822455515,0.9793756528196169,0.6334240158938645
41288.4368737475,0.8346077667055896,0.9863750068449815,0.8232362415971006,0.802972533574183,0.9859084346942957,0.7916573936786355,0.7407874918633028,0.9846543826972783,0.7294196505105256,0.6442576913097788,0.9793317645310928,0.6309420216431338
41488.81763527054,0.8334935581294608,0.9864209557815705,0.8221755122478447,0.8012380198862514,0.9859468385014322,0.7899780925939972,0.7394546492476295,0.9846734185342682,0.7281213373257215,0.6418046987173269,0.979287031739725,0.6285110183634995
41689.19839679359,0.8322409424688757,0.986466303954882,0.8209776465171994,0.799421245784277,0.985984648909721,0.7882170763555821,0.7384295769265281,0.9846918451854102,0.7271255826432648,0.6396249519722824,0.9792414763972669,0.6263472823098688
41889.579158316636,0.8308634932843699,0.9865110588340291,0.819656024506504,0.7975666721070883,0.9860218758710251,0.786418186163242,0.7377035426814008,0.9847096727227914,0.726423814080246,0.6378945404481956,0.9791951142299483,0.6246232174008313
42089.959919839675,0.8293795891031752,0.9865552280619748,0.81822876967763,0.7957219431664674,0.9860585294426152,0.784628409123947,0.7372415415215108,0.9847269104095736,0.7259815854080687,0.6367078227743734,0.9791479506379819,0.6234311598246991
42290.34068136272,0.827811963138752,0.9865988195339053,0.8167183056287375,0.7939352069404878,0.9860946194338942,0.7828952357431503,0.736985747322298,0.9847435657823448,0.7257419727489259,0.6360522002297385,0.9790999839700841,0.6227586990490738
42490.72144288578,0.8261870386295471,0.9866418414052919,0.8151507011386414,0.792252189529569,0.9861301550919234,0.7812637745327098,0.7368609249410614,0.9847596441459306,0.7256309022300009,0.6358045539694257,0.9790512128271869,0.6224852196848149
42691.10220440882,0.8245340447025348,0.986684302034214,0.8135547984007679,0.7907132731215638,0.9861651448778186,0.7797738695447411,0.7367812369574197,0.9847751486842212,0.7255638521724874,0.6357553034417893,0.9790016415321745,0.6224054856822975
42891.482965931864,0.8228839261025767,0.9867262098722458,0.8119611375679886,0.7893508572788638,0.9861995963654256,0.7784574968391181,0.7366578105994315,0.9847900811901952,0.7254533051096056,0.6356563727497713,0.9789512801435541,0.6222766198347968
43091.86372745491,0.8212680827075974,0.9867675733254211,0.8104007130229971,0.7881872688237673,0.9862335162685834,0.7773367016101952,0.7364064226466223,0.9848044432107427,0.7252163170313217,0.6352785385733525,0.978900140300163,0.6218742505391373
43292.244488977965,0.8197169986245896,0.9868084006104114,0.808903620365898,0.7872334255684535,0.9862669105790253,0.7764222785399417,0.7359546949235866,0.9848182372601225,0.7247816053579578,0.634459630624641,0.9788482314371404,0.6210396873551911
43492.625250501,0.8182588418863859,0.9868486996305675,0.8074976740767941,0.7864883648597131,0.9862997847782996,0.7757133049917718,0.7352482522960608,0.9848314677280494,0.7240956154532128,0.633131266671468,0.978795560781887,0.619706073210246
43693.00601202405,0.8169181300049678,0.9868884778921231,0.8062070898830822,0.7859396393100249,0.9863321440773117,0.7751975295560058,0.7342553672821843,0.9848441412030886,0.7231270966147813,0.6313227747252613,0.9787421364736012,0.6179022013390443
43893.3867735471,0.8157145601717295,0.98692774247337,0.8050513293729429,0.7855644813603625,0.9863639936375653,0.7748525190944299,0.7329697015884222,0.984856266118079,0.721869803484056,0.6291484072005689,0.9786879700416165,0.615739977498041
44093.76753507014,0.8146620937098703,0.9869665000503713,0.8040441953525383,0.7853315641370784,0.9863953387379518,0.774647394228599,0.7314108684627516,0.9848678518409717,0.7203430508360497,0.6267847917342204,0.9786330750281155,0.6133923281157171
44294.14829659319,0.8137683629001922,0.9870047569732598,0.8031932452568317,0.7852031482642339,0.9864261848672424,0.7745449458880359,0.7296226977482261,0.9848789075093496,0.7185900054522972,0.6244424979240047,0.9785774622887137,0.611065354963698
44494.52905811624,0.8130344375102075,0.9870425193789696,0.8024995595419386,0.7851374033324972,0.9864565377410959,0.7745039245424095,0.7276692924514927,0.9848894409796685,0.7166738026606215,0.6223327983693484,0.9785211361162348,0.6089657969027705
44694.90981963928,0.8124549532209523,0.9870797933205632,0.8019578673076054,0.7850907211395144,0.9864864032589592,0.774481321728902,0.7256292028694787,0.9848994582077736,0.7146718087658882,0.620630674224481,0.9784640952538404,0.6072648311418378
