Xdata,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2
47500.240480961926,0.13915587496984955,0.7065166676477977,0.09831594506731169,0.0499686314909726,0.6813979126206807,0.034048521194460744,0.10473186781690877,0.6593645919673905,0.06905648528907873,0.09955303335207656,0.6414329923906672,0.06385660008459036
47700.62124248497,0.13854007900416587,0.7062958129097952,0.09785027772083457,0.050454963113663875,0.6812228563283574,0.03437107408823202,0.10524584565896183,0.659238593666333,0.06938212328143793,0.1000890113940903,0.6413465654128198,0.0641917436931644
47901.00200400801,0.1379905993996723,0.7060761739682251,0.09743187446770267,0.05099324833792651,0.6810488867500196,0.03472889501231214,0.10575541141053685,0.659113409573248,0.06970480979562052,0.10062269044681388,0.6412606885808899,0.0645253757627856
48101.38276553106,0.1373882843488292,0.7058580291317028,0.09697662361625055,0.051484991744734004,0.6808760871301368,0.035054899725081884,0.10626432009425904,0.6589890260296759,0.07002702080062148,0.10115408828599784,0.6411753560625632,0.06485750857395861
48301.763527054114,0.1368338646108508,0.7056413899250591,0.09655563841281813,0.0520000022883563,0.6807044145604865,0.03539663111483953,0.10677325506199091,0.658865439020672,0.07034920757208482,0.10168322024838941,0.6410905621091042,0.06518815282610381
48502.14428857716,0.1362447186632069,0.7054259637773719,0.0961105619725696,0.052511825031334836,0.6805337879012493,0.03573607119818194,0.1072788371902966,0.6587426376241295,0.07066914417198554,0.10221010496554814,0.6410063010587245,0.06551732131478998
48702.5250501002,0.1356855029742609,0.7052117440598994,0.0956870101961232,0.052999557542436945,0.6803642715233533,0.03605900535842016,0.10778018495692053,0.6586206132429219,0.07098625151176254,0.1027347602273494,0.6409225673312944,0.06584502627907773
48902.90581162325,0.1351091729124977,0.704998985581701,0.09525182984609351,0.05352465422508939,0.6801958681697459,0.036407248649120136,0.10828049695221166,0.6584993604466347,0.07130263799187515,0.1032572015928757,0.6408393554281369,0.06617127851209165
49103.2865731463,0.13454557540011597,0.7047876313725655,0.09482605739790666,0.054000797311435034,0.6800284852224716,0.036722080396500885,0.10878076358082205,0.6583788671566856,0.07161895589478086,0.10377744787713461,0.6407566599318183,0.06649609087800114
49303.667334669335,0.13398143180351121,0.7045774213365894,0.09440029172710204,0.05451856063381653,0.6798621531814198,0.037065106020858295,0.10927814959162709,0.6582591291513619,0.0719333395854567,0.10429551808323288,0.6406744755011627,0.06681947634509726
49504.04809619238,0.1334139306003754,0.7043684134497982,0.0939725586290879,0.055004055405023865,0.6796969096330157,0.03738608647607789,0.1097715242953554,0.6581401364966749,0.07224504598319327,0.10481142761075501,0.6405927968742976,0.06714144555756153
49704.42885771544,0.13286138963869293,0.7041608235185463,0.09355578554180045,0.05549841977748099,0.6795326718429254,0.03771298947445191,0.1102635453493721,0.6580218813221024,0.07255582555203878,0.10532519293471151,0.6405116188631198,0.0674620098336825
49904.80961923848,0.13229044103016271,0.7039545425038665,0.09312645689302292,0.056001256767030494,0.6793694317197345,0.038045541985408445,0.11075542612269744,0.6579043581992216,0.07286647754033455,0.1058368316225275,0.6404309363545767,0.06778118117681696
50105.19038076152,0.13174884430230585,0.7037493501503154,0.09271816356080283,0.056473931026638106,0.679207244999266,0.038357503106881435,0.11124481047310965,0.6577875563883306,0.07317545204198976,0.10634635818700698,0.640350744308498,0.06809896961954805
