POLI_major,POLI_offset_major,POLI_minor,POLI_offset_minor
4.5713023e-06,-0.9957108013876319,5.5464893e-06,-0.9957108013876319
4.466859e-06,-0.9840914591642386,6.0264283e-06,-0.9840914591642386
3.9115516e-06,-0.970331901979936,4.1042417e-06,-0.970331901979936
6.089401e-06,-0.9449571418852817,6.312001e-06,-0.9449571418852817
5.1145626e-06,-0.9195868637600257,3.6671395e-06,-0.9195868637600257
4.2003353e-06,-0.9059205263156367,3.5566677e-06,-0.9059205263156367
5.559771e-06,-0.894221449082944,0.014077021,-0.894221449082944
3.5776857e-06,-0.8688613238025964,0.039836768,-0.8688613238025964
4.439131e-06,-0.8551420934558187,0.03981438,-0.8551420934558187
5.675803e-06,-0.82975900115636,0.03505237,-0.82975900115636
5.6645463e-06,-0.8181589087701729,0.014697038,-0.8181589087701729
0.007012417,-0.804380506974156,5.505427e-06,-0.804380506974156
0.014694997,-0.7790070603017666,5.9035237e-06,-0.7790070603017666
0.0052626627,-0.7536391709564997,4.55089e-06,-0.7536391709564997
0.0052626627,-0.7536391709564997,4.55089e-06,-0.7536391709564997
4.8686575e-06,-0.7282774196691808,6.2629742e-06,-0.7282774196691808
0.023543738,-0.7145795966860515,5.042564e-06,-0.7145795966860515
0.028487649,-0.6891908298867594,4.645776e-06,-0.6891908298867594
0.045950443,-0.6638072009250879,4.965306e-06,-0.6638072009250879
0.045950443,-0.6638072009250879,4.965306e-06,-0.6638072009250879
0.068083175,-0.6384293226348552,4.168991e-06,-0.6384293226348552
0.09268232,-0.6130579091733506,4.326816e-06,-0.6130579091733506
0.106798545,-0.5994297289924817,6.0654515e-06,-0.5994297289924817
0.11696479,-0.5876937978233224,4.0337727e-06,-0.5876937978233224
0.13879368,-0.5623379766652792,0.016770206,-0.5623379766652792
0.14834478,-0.5486310235486143,0.023125753,-0.5486310235486143
0.16485824,-0.5232399067349509,0.037677214,-0.5232399067349509
0.17410754,-0.5116561345278683,0.04575817,-0.5116561345278683
0.18102536,-0.49785540069381595,0.05340186,-0.49785540069381595
0.20005327,-0.47247857094264084,0.07267723,-0.47247857094264084
0.2243313,-0.447110724541472,0.09568467,-0.447110724541472
0.23920405,-0.4334974048365227,0.11301003,-0.4334974048365227
0.2539049,-0.4217534824989594,0.120984524,-0.4217534824989594
0.2861402,-0.3964088798198144,0.14623882,-0.3964088798198144
0.30015856,-0.38268524925844744,0.16767891,-0.38268524925844744
0.32564086,-0.35728979834302577,0.1889571,-0.35728979834302577
0.34167016,-0.34576870882137384,0.183341,-0.34576870882137384
0.34387195,-0.33190360046254397,0.20064193,-0.33190360046254397
0.35567927,-0.3065289545866753,0.1992124,-0.3065289545866753
0.36645028,-0.2811689883326396,0.1828385,-0.2811689883326396
0.36645028,-0.2811689883326396,0.1828385,-0.2811689883326396
0.38615212,-0.25582806726393414,0.1510943,-0.25582806726393414
0.3971244,-0.2421652328473268,0.14530697,-0.2421652328473268
0.46241438,-0.21674870241826136,0.09961561,-0.21674870241826136
0.5730217,-0.19134262462922372,0.10423269,-0.19134262462922372
0.5730217,-0.19134262462922372,0.10423269,-0.19134262462922372
0.73726636,-0.16595180023127198,0.21848923,-0.16595180023127198
0.95327073,-0.1405844941663198,0.4084588,-0.1405844941663198
1.1011596,-0.12727922061357858,0.48764017,-0.12727922061357858
1.2051977,-0.1152562362737913,0.66171795,-0.1152562362737913
1.4632548,-0.09000000000000001,0.96433634,-0.09000000000000001
1.60015,-0.07636753236814714,1.0641273,-0.07636753236814714
1.7780925,-0.05091168824543143,1.3797956,-0.05091168824543143
1.8409616,-0.04024922359499622,1.5806307,-0.04024922359499622
1.8609109,-0.025455844122715714,1.6524967,-0.025455844122715714
1.8317187,-0.0,1.8317187,-0.0
1.6959925,0.025455844122715714,1.8830317,0.025455844122715714
1.4989991,0.04024922359499622,1.8365418,0.04024922359499622
1.4803082,0.05091168824543143,1.8006006,0.05091168824543143
1.2246726,0.07636753236814714,1.6079755,0.07636753236814714
1.0054988,0.09000000000000001,1.4978737,0.09000000000000001
0.7845908,0.1152562362737913,1.2274101,0.1152562362737913
0.755219,0.12727922061357858,1.0633844,0.12727922061357858
0.61740637,0.1405844941663198,0.94742125,0.1405844941663198
0.51157326,0.16595180023127198,0.68964905,0.16595180023127198
0.46014968,0.19134262462922372,0.47209448,0.19134262462922372
0.46014968,0.19134262462922372,0.47209448,0.19134262462922372
0.44694504,0.21674870241826136,0.3014634,0.21674870241826136
0.45344728,0.2421652328473268,0.17732522,0.2421652328473268
0.47117743,0.25582806726393414,0.13561507,0.25582806726393414
0.48136672,0.2811689883326396,0.0723072,0.2811689883326396
0.48136672,0.2811689883326396,0.0723072,0.2811689883326396
0.48110488,0.3065289545866753,0.052921813,0.3065289545866753
0.46971864,0.33190360046254397,0.059469365,0.33190360046254397
0.46827427,0.34576870882137384,0.0510052,0.34576870882137384
0.44930896,0.35728979834302577,0.06410585,0.35728979834302577
0.42266685,0.38268524925844744,0.059720144,0.38268524925844744
0.41385266,0.3964088798198144,0.04755369,0.3964088798198144
0.38034198,0.4217534824989594,0.034669522,0.4217534824989594
0.3581882,0.4334974048365227,0.028617444,0.4334974048365227
0.3435326,0.447110724541472,0.023835434,0.447110724541472
0.30370685,0.47247857094264084,0.038088948,0.47247857094264084
0.26140547,0.49785540069381595,0.057035215,0.49785540069381595
0.23442212,0.5116561345278683,0.063204296,0.5116561345278683
0.21748258,0.5232399067349509,0.07101884,0.5232399067349509
0.17305104,0.5486310235486143,0.077329956,0.5486310235486143
0.14407285,0.5623379766652792,0.07754811,0.5623379766652792
0.10256992,0.5876937978233224,0.07428599,0.5876937978233224
0.08860667,0.5994297289924817,0.070720844,0.5994297289924817
0.06642641,0.6130579091733506,0.06636024,0.6130579091733506
0.03677441,0.6384293226348552,0.053794976,0.6384293226348552
6.1639735e-06,0.6638072009250879,0.033602715,0.6638072009250879
6.1639735e-06,0.6638072009250879,0.033602715,0.6638072009250879
5.530864e-06,0.6891908298867594,4.9159253e-06,0.6891908298867594
5.7359825e-06,0.7145795966860515,4.8491343e-06,0.7145795966860515
5.238178e-06,0.7282774196691808,6.1617748e-06,0.7282774196691808
3.3548172e-06,0.7536391709564997,3.5768808e-06,0.7536391709564997
3.3548172e-06,0.7536391709564997,3.5768808e-06,0.7536391709564997
3.7630127e-06,0.7790070603017666,3.5643222e-06,0.7790070603017666
5.790199e-06,0.804380506974156,5.3606773e-06,0.804380506974156
6.591269e-06,0.8181589087701729,5.6346407e-06,0.8181589087701729
5.0649187e-06,0.82975900115636,6.0567636e-06,0.82975900115636
4.9634173e-06,0.8551420934558187,0.017564338,0.8551420934558187
5.5927003e-06,0.8688613238025964,0.029568939,0.8688613238025964
4.8761776e-06,0.894221449082944,0.053850487,0.894221449082944
5.918433e-06,0.9059205263156367,0.06493455,0.9059205263156367
6.6387656e-06,0.9195868637600257,0.063003,0.9195868637600257
4.3248456e-06,0.9449571418852817,0.06158542,0.9449571418852817
4.582844e-06,0.970331901979936,0.052252647,0.970331901979936
5.504723e-06,0.9840914591642386,0.041085318,0.9840914591642386
4.5464208e-06,0.9957108013876319,0.036642157,0.9957108013876319
