POLI_major,POLI_offset_major,POLI_minor,POLI_offset_minor
0.031200847,-0.6945761297366907,0.06832142,-0.6945761297366907
0.040416222,-0.6792466415080755,0.068917386,-0.6792466415080755
0.056597006,-0.6544677226571224,0.06804105,-0.6544677226571224
0.056597006,-0.6544677226571224,0.06804105,-0.6544677226571224
0.07582877,-0.6297428046432925,0.063456245,-0.6297428046432925
0.08865695,-0.6143777339715365,0.05977237,-0.6143777339715365
0.112294264,-0.5896202167497312,0.049013156,-0.5896202167497312
0.127326,-0.5743100208075774,0.04202485,-0.5743100208075774
0.15592885,-0.5495161508090549,0.025304483,-0.5495161508090549
0.18771984,-0.524785670536077,0.009859278,-0.524785670536077
0.20763087,-0.5094349811310567,0.011351298,-0.5094349811310567
0.22232878,-0.500127983620193,0.02365235,-0.500127983620193
0.24432021,-0.4846648326421054,0.035261173,-0.4846648326421054
0.28291214,-0.459969564210503,0.06127366,-0.459969564210503
0.3074998,-0.4445672052682249,0.07525533,-0.4445672052682249
0.34853467,-0.4198285364288617,0.10050102,-0.4198285364288617
0.3751231,-0.4044996909763962,0.11399207,-0.4044996909763962
0.4175011,-0.37971041597512184,0.13349116,-0.37971041597512184
0.44578367,-0.3644722211636986,0.14420989,-0.3644722211636986
0.45982274,-0.3550154926196884,0.14545208,-0.3550154926196884
0.49016315,-0.3396233207540377,0.1535261,-0.3396233207540377
0.53606844,-0.31487140232164623,0.15506971,-0.31487140232164623
0.57047236,-0.2995797055876783,0.16324373,-0.2995797055876783
0.6247213,-0.27475807540452746,0.17127584,-0.27475807540452746
0.685397,-0.2500639918100965,0.20560357,-0.2500639918100965
0.7342493,-0.2346912865872954,0.24902026,-0.2346912865872954
0.8117551,-0.20991426821443085,0.34385103,-0.20991426821443085
0.8117551,-0.20991426821443085,0.34385103,-0.20991426821443085
0.89811313,-0.18532134253776603,0.47461402,-0.18532134253776603
0.96549505,-0.16981166037701886,0.5578553,-0.16981166037701886
1.0655308,-0.1451206394693739,0.7238426,-0.1451206394693739
1.1349856,-0.12979984591670363,0.81498486,-0.12979984591670363
1.2351289,-0.10495713410721542,0.99016005,-0.10495713410721542
1.292542,-0.09000000000000001,1.0739155,-0.09000000000000001
1.3720341,-0.06489992295835181,1.2276855,-0.06489992295835181
1.3720341,-0.06489992295835181,1.2276855,-0.06489992295835181
1.4273126,-0.04024922359499622,1.3492918,-0.04024922359499622
1.4391786,-0.025455844122715714,1.3906373,-0.025455844122715714
1.445566,-0.0,1.445566,-0.0
1.4188442,0.025455844122715714,1.4469748,0.025455844122715714
1.3696768,0.04024922359499622,1.4222697,0.04024922359499622
1.2980481,0.06489992295835181,1.3476198,0.06489992295835181
1.2980481,0.06489992295835181,1.3476198,0.06489992295835181
1.2059807,0.09000000000000001,1.2286695,0.09000000000000001
1.1226658,0.10495713410721542,1.1501327,0.10495713410721542
1.0197064,0.12979984591670363,0.98895687,0.12979984591670363
0.93631774,0.1451206394693739,0.8943516,0.1451206394693739
0.84445125,0.16981166037701886,0.7212381,0.16981166037701886
0.7757316,0.18532134253776603,0.6267472,0.18532134253776603
0.7072439,0.20991426821443085,0.46997043,0.20991426821443085
0.7072439,0.20991426821443085,0.46997043,0.20991426821443085
0.65120447,0.2346912865872954,0.33622175,0.2346912865872954
0.6135485,0.2500639918100965,0.2701287,0.2500639918100965
0.5777407,0.27475807540452746,0.1864271,0.27475807540452746
0.54810786,0.2995797055876783,0.14312525,0.2995797055876783
0.5254535,0.31487140232164623,0.1236273,0.31487140232164623
0.5000151,0.3396233207540377,0.124036625,0.3396233207540377
0.47671056,0.3550154926196884,0.11875793,0.3550154926196884
0.47303602,0.3644722211636986,0.12840663,0.3644722211636986
0.44817534,0.37971041597512184,0.12304381,0.37971041597512184
0.41624922,0.4044996909763962,0.12106449,0.4044996909763962
0.38692054,0.4198285364288617,0.113810144,0.4198285364288617
0.3501471,0.4445672052682249,0.10540582,0.4445672052682249
0.3181123,0.459969564210503,0.09736205,0.459969564210503
0.2793161,0.4846648326421054,0.08674704,0.4846648326421054
0.24754488,0.500127983620193,0.07985385,0.500127983620193
0.24059728,0.5094349811310567,0.07601138,0.5094349811310567
0.21018009,0.524785670536077,0.070358835,0.524785670536077
0.17456484,0.5495161508090549,0.062066328,0.5495161508090549
0.14137793,0.5743100208075774,0.055537555,0.5743100208075774
0.117550164,0.5896202167497312,0.05464196,0.5896202167497312
0.09013364,0.6143777339715365,0.052446928,0.6143777339715365
0.071330406,0.6297428046432925,0.054107543,0.6297428046432925
0.050156828,0.6544677226571224,0.056329258,0.6544677226571224
0.050156828,0.6544677226571224,0.056329258,0.6544677226571224
0.032558795,0.6792466415080755,0.061362114,0.6792466415080755
0.021917257,0.6945761297366907,0.06482553,0.6945761297366907
