POLI_major,POLI_offset_major,POLI_minor,POLI_offset_minor
0.01997086,-0.6945761297366907,0.06430181,-0.6945761297366907
0.024154587,-0.6854195795277519,0.06456451,-0.6854195795277519
0.031726584,-0.6698805863734223,0.065275304,-0.6698805863734223
0.046250444,-0.6452441398416572,0.06313016,-0.6452441398416572
0.054889526,-0.6297428046432925,0.06129862,-0.6297428046432925
0.07225391,-0.6050785073029781,0.05374202,-0.6050785073029781
0.08261457,-0.5896202167497312,0.048762824,-0.5896202167497312
0.105474815,-0.5649247737531078,0.03571222,-0.5649247737531078
0.11928629,-0.5495161508090549,0.027456159,-0.5495161508090549
0.1500581,-0.524785670536077,0.012887215,-0.524785670536077
0.1500581,-0.524785670536077,0.012887215,-0.524785670536077
0.18540226,-0.500127983620193,0.020394715,-0.500127983620193
0.20601404,-0.4846648326421054,0.031230887,-0.4846648326421054
0.24636264,-0.459969564210503,0.05562171,-0.459969564210503
0.2690712,-0.4445672052682249,0.069917366,-0.4445672052682249
0.31071705,-0.4198285364288617,0.094398655,-0.4198285364288617
0.3334167,-0.4044996909763962,0.10808785,-0.4044996909763962
0.37343323,-0.37971041597512184,0.12687543,-0.37971041597512184
0.37343323,-0.37971041597512184,0.12687543,-0.37971041597512184
0.41134614,-0.3550154926196884,0.13790141,-0.3550154926196884
0.4475732,-0.3304360755123448,0.13903904,-0.3304360755123448
0.46976754,-0.31487140232164623,0.14124422,-0.31487140232164623
0.5085418,-0.2902412789387478,0.13376787,-0.2902412789387478
0.5340417,-0.27475807540452746,0.14282694,-0.27475807540452746
0.58401966,-0.2500639918100965,0.16860355,-0.2500639918100965
0.6184085,-0.2346912865872954,0.21238762,-0.2346912865872954
0.6447629,-0.22553935355055005,0.23874116,-0.22553935355055005
0.6901978,-0.20991426821443085,0.30599177,-0.20991426821443085
0.7773767,-0.18532134253776603,0.43551442,-0.18532134253776603
0.83869857,-0.16981166037701886,0.52652776,-0.16981166037701886
0.95205677,-0.1451206394693739,0.6921278,-0.1451206394693739
1.0237021,-0.12979984591670363,0.79211396,-0.12979984591670363
1.1477146,-0.10495713410721542,0.966964,-0.10495713410721542
1.2136232,-0.09000000000000001,1.0580349,-0.09000000000000001
1.261674,-0.08049844718999244,1.1299033,-0.08049844718999244
1.3192751,-0.06489992295835181,1.2105916,-0.06489992295835181
1.3950548,-0.04024922359499622,1.3305943,-0.04024922359499622
1.4135455,-0.025455844122715714,1.3739502,-0.025455844122715714
1.4260166,-0.0,1.4260166,-0.0
1.3927774,0.025455844122715714,1.424948,0.025455844122715714
1.3395348,0.04024922359499622,1.3955574,0.04024922359499622
1.2473434,0.06489992295835181,1.3185506,0.06489992295835181
1.161982,0.08049844718999244,1.2468941,0.08049844718999244
1.1295666,0.09000000000000001,1.1985439,0.09000000000000001
1.0406953,0.10495713410721542,1.1118888,0.10495713410721542
0.9151688,0.12979984591670363,0.9517924,0.12979984591670363
0.83249426,0.1451206394693739,0.8487818,0.1451206394693739
0.7290667,0.16981166037701886,0.6797356,0.16981166037701886
0.6686646,0.18532134253776603,0.5786055,0.18532134253776603
0.60097146,0.20991426821443085,0.42856458,0.20991426821443085
0.5653958,0.22553935355055005,0.34360993,0.22553935355055005
0.5524568,0.2346912865872954,0.30121955,0.2346912865872954
0.5294563,0.2500639918100965,0.2330197,0.2500639918100965
0.5053126,0.27475807540452746,0.15630876,0.27475807540452746
0.49158916,0.2902412789387478,0.11932946,0.2902412789387478
0.47517872,0.31487140232164623,0.10386787,0.31487140232164623
0.46016428,0.3304360755123448,0.097554706,0.3304360755123448
0.4391411,0.3550154926196884,0.106617324,0.3550154926196884
0.41281876,0.37971041597512184,0.110559314,0.37971041597512184
0.41281876,0.37971041597512184,0.110559314,0.37971041597512184
0.3812117,0.4044996909763962,0.10774504,0.4044996909763962
0.35297352,0.4198285364288617,0.10051711,0.4198285364288617
0.31535566,0.4445672052682249,0.091115065,0.4445672052682249
0.28404975,0.459969564210503,0.08245806,0.459969564210503
0.2453639,0.4846648326421054,0.071549185,0.4846648326421054
0.21485285,0.500127983620193,0.06421636,0.500127983620193
0.17928152,0.524785670536077,0.055749375,0.524785670536077
0.17928152,0.524785670536077,0.055749375,0.524785670536077
0.14646073,0.5495161508090549,0.04944507,0.5495161508090549
0.12219657,0.5649247737531078,0.047316257,0.5649247737531078
0.09526215,0.5896202167497312,0.045405038,0.5896202167497312
0.07581074,0.6050785073029781,0.04589556,0.6050785073029781
0.05472366,0.6297428046432925,0.047482364,0.6297428046432925
0.03988112,0.6452441398416572,0.04934946,0.6452441398416572
0.024616135,0.6698805863734223,0.053623006,0.6698805863734223
0.014982815,0.6854195795277519,0.05619329,0.6854195795277519
0.013171944,0.6945761297366907,0.059486214,0.6945761297366907
