1.122018454301963557e-02 2.397878238126750803e+05
1.412537544622754701e-02 2.191445767927757115e+05
1.778279410038922925e-02 2.039351046943216352e+05
2.238721138568339902e-02 1.823245678475058230e+05
2.818382931264453578e-02 1.671015033760398219e+05
3.548133892335755130e-02 1.493226936110824754e+05
4.466835921509629964e-02 1.410187206069111126e+05
5.623413251903491145e-02 1.179443859598497511e+05
7.079457843841380216e-02 1.047201521525435819e+05
8.912509381337455072e-02 1.009348818543430825e+05
1.122018454301963314e-01 9.234192691814292630e+04
1.412537544622753938e-01 8.443760698850013432e+04
1.778279410038922925e-01 7.861926364265856682e+04
2.238721138568338931e-01 7.037064820261734712e+04
2.818382931264453717e-01 5.903176555498883681e+04
3.548133892335753048e-01 4.660417396535057196e+04
4.466835921509630380e-01 3.685964948423660826e+04
5.623413251903490728e-01 2.756713464596602353e+04
7.079457843841376885e-01 2.050614470998377510e+04
8.912509381337454517e-01 1.384845436435861848e+04
1.122018454301962898e+00 8.401587934381119339e+03
1.412537544622753272e+00 4.521865479800383582e+03
1.778279410038921871e+00 2.447874454084982972e+03
2.238721138568338986e+00 1.630156592090809909e+03
2.818382931264453717e+00 4.993984914032363349e+02
3.548133892335755046e+00 3.630154011473549645e+02
4.466835921509628271e+00 2.254268610854999224e+02
5.623413251903487620e+00 3.701620594001684594e+01
7.079457843841376885e+00 4.895292452634378400e+00
8.912509381337454073e+00 3.995264876934651710e+00
1.122018454301962365e+01 1.598105950773860418e+00
1.412537544622753316e+01 7.990529753869302088e-01
1.778279410038921782e+01 7.990529753869302088e-01
